Feature1,Feature2,Feature3,Cluster
0.5179466,0.051462956,0.49016613,0
0.5223925,0.040397637,0.49212772,0
0.5471285,0.059036054,0.5052423,0
0.5718771,0.07079653,0.51148504,0
0.59637135,0.112002335,0.500632,0
0.6079321,0.1291771,0.49083072,0
0.6211216,0.14744258,0.48594147,0
0.63159823,0.15832466,0.48092842,0
0.61943674,0.15860587,0.46099,0
0.61150527,0.16802421,0.45970345,0
0.6065512,0.17262599,0.446406,0
0.6120177,0.20502505,0.44823503,0
0.6122055,0.18597358,0.44968563,0
0.5985147,0.15855223,0.45183593,0
0.61334157,0.14331764,0.4695887,0
0.60356593,0.11703988,0.47785968,0
0.5948626,0.09357666,0.47933394,0
0.59080744,0.077017866,0.48372918,0
0.60792506,0.0886671,0.48897272,0
0.60832465,0.08367922,0.47558898,0
0.62436414,0.10880887,0.46341437,0
0.6371002,0.12687841,0.45449483,0
0.6172267,0.10346808,0.43503153,0
0.6077161,0.09634008,0.42248333,0
0.5963055,0.071953006,0.40823352,0
0.58733344,0.056084715,0.39874697,0
0.5771873,0.020732291,0.39053696,0
0.5667719,-0.0037473366,0.39062744,0
0.56037116,-0.027766801,0.39452833,0
0.5579834,-0.039421283,0.39693832,0
0.5679162,-0.015040882,0.39714593,0
0.5688697,-0.01288154,0.4033358,0
0.5718104,-0.011472173,0.4075613,0
0.5760256,-0.04911343,0.4129188,0
0.58273923,-0.09905774,0.43071693,0
0.59201264,-0.1374999,0.4417776,0
0.60018134,-0.18378359,0.45634872,0
0.62170917,-0.20303264,0.47587729,0
0.64063346,-0.19478086,0.48186654,0
0.6734358,-0.14395097,0.48207557,0
0.7207431,-0.09347368,0.47085446,0
0.7540879,-0.08311773,0.45958424,0
0.7946271,-0.071708865,0.4544583,0
0.8048485,-0.08618715,0.4286999,0
0.8141224,-0.10274636,0.4068309,0
0.83009875,-0.08652588,0.3930931,0
0.83496916,-0.07053506,0.37688375,0
0.83786035,-0.04588551,0.3672577,0
0.85195905,-0.00062645227,0.34356773,0
0.8793953,0.075514935,0.32767558,0
0.87530875,0.12371128,0.30507237,0
0.84687805,0.1394251,0.26957375,0
0.8129362,0.13980898,0.2533446,0
0.7881996,0.14305979,0.24066646,0
0.7664235,0.11114516,0.23201974,0
0.7498784,0.0707205,0.23791917,1
0.7217345,0.024671383,0.24261661,1
0.7006923,-0.007829018,0.24799298,1
0.6841655,-0.021843381,0.24855109,1
0.67859924,-0.013308801,0.25263107,1
0.6852207,0.023459084,0.25517273,0
0.6878183,0.051099427,0.25106734,0
0.6909566,0.06426395,0.23988463,0
0.68590105,0.06979924,0.2265775,0
0.6647144,0.036157824,0.21805052,1
0.6477238,-0.005430244,0.21647458,1
0.6330225,-0.04337322,0.212137,1
0.6302607,-0.064647384,0.21196319,1
0.6290277,-0.08092933,0.21330075,1
0.6315107,-0.077957086,0.20915781,1
0.645536,-0.05683235,0.21087934,1
0.6533514,-0.05852335,0.20481823,1
0.6632515,-0.06231696,0.20439987,1
0.67688024,-0.05803042,0.20156433,1
0.6767719,-0.07840691,0.19576438,1
0.6811498,-0.12831521,0.20045613,1
0.69150746,-0.17717361,0.20667566,1
0.6992985,-0.2130883,0.21327354,1
