Feature1,Feature2,Feature3,Cluster
-0.8262941,0.15596545,0.23804775,0
-0.8573331,0.14022017,0.22859025,0
-0.8913389,0.13138367,0.2283696,0
-0.92293245,0.12749363,0.2166735,0
-0.9751815,0.13820727,0.21462616,0
-1.0102425,0.16634177,0.2369982,0
-1.0213703,0.18899594,0.30149913,0
-1.0168045,0.21306549,0.3785917,0
-0.99165267,0.22394113,0.451249,0
-0.9534179,0.23778443,0.5183717,0
-0.90483385,0.2350318,0.5760936,0
-0.8395235,0.22596769,0.64041394,0
-0.7892042,0.20091914,0.6819442,0
-0.7561762,0.1755955,0.693325,0
-0.7275623,0.16560297,0.68094254,0
-0.71833235,0.15126018,0.652656,0
-0.7199583,0.13785905,0.6322371,0
-0.70936924,0.13002707,0.6183226,0
-0.68892187,0.12065743,0.6073977,0
-0.650585,0.12788424,0.6161946,0
-0.6104376,0.13709922,0.6256369,0
-0.5771796,0.15006731,0.6701787,0
-0.54189926,0.13985722,0.6773576,0
-0.53925467,0.12353265,0.6462076,0
-0.54954374,0.1149199,0.6116883,0
-0.5728929,0.09976785,0.5539504,0
-0.6219932,0.078967586,0.4784425,0
-0.6655992,0.05791311,0.4167186,0
-0.7026795,0.059281617,0.39791477,0
-0.7158652,0.06629254,0.39440018,0
-0.73094386,0.08475734,0.41478258,0
-0.7405482,0.10673417,0.4333974,0
-0.72229594,0.115323484,0.4771954,0
-0.71656007,0.11325048,0.50697595,0
-0.71039623,0.10035594,0.52432823,0
-0.69862485,0.0936894,0.5478448,0
-0.67605644,0.08605777,0.5494942,0
-0.6689417,0.082842484,0.5518831,0
-0.6510317,0.082543656,0.55354613,0
-0.6309288,0.08433618,0.57522184,0
-0.6460665,0.08852622,0.55784816,0
-0.66508883,0.08771749,0.53237516,0
-0.6878056,0.09377524,0.53109705,0
-0.7042948,0.08148989,0.5003403,0
-0.7215074,0.07970272,0.4776352,0
-0.7337003,0.080011696,0.46689433,0
-0.7402388,0.090221986,0.4775824,0
-0.74070686,0.09636961,0.4906769,0
-0.7321361,0.0949038,0.5137105,0
-0.7182297,0.07838324,0.5426925,0
-0.70151585,0.053077415,0.5300854,0
-0.69417286,0.035520077,0.5243543,0
-0.6964004,0.022124186,0.50791,0
-0.6957544,0.010911018,0.493832,0
-0.71078616,0.004625976,0.47321784,0
-0.726144,-0.002898842,0.45078433,0
-0.7470334,-0.004782781,0.42996436,0
-0.7544513,-0.0021731406,0.42405283,0
-0.74838877,0.007852122,0.44003367,0
-0.7484252,0.011202186,0.4448504,0
-0.74531907,0.00994201,0.44973296,0
-0.7861514,0.0131866485,0.4309581,0
-0.8239929,0.010174766,0.3985411,0
-0.8714536,0.008363321,0.37492037,0
-0.91454244,-0.005511835,0.3501531,0
-0.9571075,0.0023667961,0.3415717,0
-0.9718804,0.020072415,0.3536086,0
-0.9650441,0.04064314,0.39753252,0
-0.9686703,0.0572118,0.45860174,0
-0.97629225,0.056213394,0.50224537,0
-0.9886714,0.043134615,0.5452627,0
-0.98913544,0.028115198,0.5543447,0
-0.9924268,0.014396682,0.56428677,0
-0.9799555,0.0023550242,0.58959717,0
-0.9641175,-0.00799422,0.60930824,0
-0.9315551,-0.009045795,0.6383789,0
-0.89681906,-0.009799525,0.68257767,0
-0.85461503,-0.016867891,0.73581,0
-0.7920746,-0.026057467,0.7819554,0
-0.73496085,-0.037218526,0.79210764,0
-0.69602925,-0.05480908,0.7778909,0
-0.67527187,-0.06124766,0.75675404,0
-0.68466276,-0.072204575,0.7244357,0
-0.69934595,-0.07580949,0.68948966,0
-0.7173841,-0.08138265,0.6431094,0
-0.73365736,-0.07824002,0.6083133,0
-0.73780864,-0.08031626,0.59082115,0
-0.7341092,-0.08309172,0.5872672,0
-0.7106316,-0.07886882,0.60712856,0
-0.69029415,-0.0771897,0.62463385,0
-0.67387915,-0.08602463,0.6352334,0
-0.6631263,-0.10173683,0.6292637,0
-0.66666377,-0.111769274,0.60129666,0
-0.68077177,-0.11642663,0.5702457,0
-0.6928435,-0.12644108,0.54425496,0
-0.71512264,-0.1270535,0.5245062,0
-0.7271737,-0.13321905,0.5191641,0
-0.72436947,-0.135204,0.5183344,0
-0.7282776,-0.1326058,0.53401315,0
-0.72898716,-0.13366581,0.54569656,0
-0.7350812,-0.1405933,0.5512837,0
-0.74110776,-0.1386954,0.5629499,0
-0.7521226,-0.14203562,0.5573508,0
-0.78945094,-0.15108387,0.53488916,0
-0.83462733,-0.16056804,0.5098304,0
-0.87086207,-0.16896217,0.49549976,0
-0.8795832,-0.16985323,0.5029165,0
-0.8695316,-0.16767935,0.53401667,0
-0.855704,-0.1659546,0.5698006,0
-0.81874675,-0.17110772,0.6108993,0
-0.77444816,-0.17286046,0.65280455,0
-0.7412329,-0.172943,0.68648905,0
-0.7337187,-0.17344294,0.69227594,0
-0.732896,-0.1904572,0.66374993,0
-0.7467468,-0.20347606,0.61354685,1
-0.76250434,-0.21528521,0.5740375,1
-0.7531002,-0.22468613,0.57094526,1
-0.7316136,-0.22466286,0.581359,1
-0.68354565,-0.2168672,0.61513996,1
-0.6149448,-0.22052473,0.6472424,1
-0.53735155,-0.21774413,0.6966602,1
-0.49220157,-0.23091845,0.7067795,1
-0.4812771,-0.24660482,0.66382974,1
-0.47892642,-0.2676087,0.5982936,1
-0.46446204,-0.28820658,0.5397985,1
-0.4272014,-0.29946882,0.4986309,1
-0.37779844,-0.27681738,0.5182595,1
-0.31060845,-0.28922254,0.5241811,1
-0.2589746,-0.27220103,0.54444724,1
-0.22872128,-0.27957207,0.5407731,1
-0.21275319,-0.31251884,0.48345816,2
-0.21092212,-0.39388037,0.3475834,2
-0.22035953,-0.51520985,0.1410391,2
-0.25739327,-0.556324,0.031626068,2
-0.30239582,-0.5150346,0.030309789,2
-0.32643962,-0.44677716,0.07967092,2
-0.33757073,-0.37754363,0.13959286,2
-0.34954816,-0.34293157,0.16259867,2
-0.35682082,-0.322308,0.15759543,2
-0.36771566,-0.30816352,0.16561285,2
-0.40837395,-0.31432575,0.12325977,2
-0.44283837,-0.30330247,0.102946445,2
-0.4619434,-0.3231995,0.076538146,2
-0.47743952,-0.33703047,0.049882825,2
-0.5083246,-0.3331315,0.05638867,2
-0.5623845,-0.30624038,0.065465935,2
-0.5970895,-0.28161162,0.09130272,2
-0.619624,-0.2740758,0.09406526,2
-0.6240695,-0.27682793,0.11989589,2
-0.607661,-0.26702827,0.15671974,2
-0.57377505,-0.272519,0.18935783,2
-0.54332054,-0.25799,0.22799394,2
-0.5291225,-0.24707039,0.2578921,2
-0.5103169,-0.25373593,0.27426577,2
-0.51136965,-0.27224264,0.25233385,2
-0.5052271,-0.30331552,0.19580474,2
-0.5281089,-0.3106513,0.12838611,2
-0.5453892,-0.3150532,0.09895018,2
-0.57690287,-0.2927781,0.093150064,2
-0.61226803,-0.27464283,0.10467356,2
-0.6405917,-0.2748264,0.08915657,2
-0.6693317,-0.30238116,0.05947578,2
-0.69737476,-0.30140114,0.027134843,2
-0.7094941,-0.2795574,0.056231856,2
-0.71190494,-0.26123303,0.07468061,2
-0.70012623,-0.24122459,0.11242889,2
-0.68814117,-0.23306938,0.13521458,2
-0.6922354,-0.2271678,0.14957207,2
-0.70137656,-0.23084046,0.13964003,2
-0.7280023,-0.2478774,0.0957062,2
-0.7602258,-0.24441387,0.071688265,2
-0.7960041,-0.2477124,0.04806763,2
-0.8187954,-0.24680184,0.046545267,2
-0.82946,-0.24952814,0.05750408,2
-0.8286626,-0.24528353,0.08595629,2
-0.82055014,-0.23739947,0.13075285,2
-0.8003333,-0.22867978,0.18562718,2
-0.7608891,-0.22302876,0.24109873,2
-0.7215093,-0.2279773,0.27588528,2
-0.685923,-0.24529074,0.29907382,2
-0.6667244,-0.25134277,0.31040946,1
-0.6474027,-0.2656827,0.30704018,1
-0.6420472,-0.2726529,0.2991915,2
-0.6491929,-0.27663168,0.28189453,2
-0.64510113,-0.2873801,0.27371004,2
-0.6390539,-0.29250124,0.27786368,2
-0.61214346,-0.28766572,0.30418593,2
-0.563655,-0.28159738,0.35415453,1
-0.53427625,-0.2763396,0.3855482,1
-0.5191975,-0.28517514,0.39083776,1
-0.5183332,-0.2832185,0.37374902,1
-0.54113066,-0.28827244,0.34287208,2
-0.536682,-0.31128174,0.3120059,2
-0.5708918,-0.3223424,0.24006343,2
-0.6040474,-0.346182,0.1921466,2
-0.6354737,-0.3195537,0.19153506,2
-0.6951809,-0.27499795,0.20725808,2
-0.6968039,-0.26017106,0.23799628,2
-0.6879428,-0.24853745,0.26412115,2
-0.6868573,-0.23026972,0.28849223,2
-0.65123194,-0.22364224,0.33175087,2
-0.629813,-0.20919791,0.3638365,0
-0.61029947,-0.19849394,0.41537392,0
-0.5917729,-0.20913728,0.41330022,1
-0.5994339,-0.20875497,0.39240193,0
-0.6044154,-0.21537317,0.37363315,1
-0.634291,-0.20852762,0.32373697,2
-0.6710278,-0.18864034,0.32168344,0
-0.69112164,-0.17983942,0.3119719,0
-0.6971293,-0.17032497,0.31746277,0
-0.6838613,-0.16182502,0.34456033,0
-0.67681664,-0.16346912,0.3667935,0
-0.66453075,-0.16917674,0.38886237,0
-0.6795619,-0.1695071,0.38951826,0
-0.697362,-0.17391463,0.3754164,0
-0.71110326,-0.17723103,0.3655516,0
-0.720141,-0.19218697,0.34769315,0
-0.73488504,-0.20139283,0.32924062,0
-0.737963,-0.20356645,0.32229847,0
-0.74707025,-0.19231237,0.3418759,0
-0.7649534,-0.18920247,0.35470816,0
-0.7772044,-0.19319375,0.35006604,0
-0.8137249,-0.18764314,0.35077533,0
-0.8367652,-0.21058336,0.31894752,0
-0.8576283,-0.21429689,0.3074617,0
-0.87422484,-0.20732553,0.31400478,0
-0.8677373,-0.20656241,0.3353785,0
-0.8551699,-0.2043307,0.3631171,0
-0.82967335,-0.20319785,0.40449035,0
-0.7948734,-0.19780584,0.44824946,0
-0.7406639,-0.19704156,0.48543042,0
-0.6864472,-0.19477014,0.52803636,0
-0.6523437,-0.2000814,0.53147125,1
-0.62146664,-0.21981649,0.51928866,1
-0.6159023,-0.21800973,0.5104127,1
-0.61926323,-0.2250626,0.480846,1
-0.6274767,-0.23523365,0.4570917,1
-0.6365059,-0.24336542,0.4334807,1
-0.62991995,-0.24595356,0.42205867,1
-0.6223874,-0.24596174,0.41808146,1
-0.58581674,-0.23979829,0.44800493,1
-0.55723786,-0.23526661,0.46623313,1
-0.5406541,-0.24396677,0.4636737,1
-0.5279812,-0.25049096,0.45772,1
-0.5293855,-0.25712973,0.43597215,1
-0.5376867,-0.26377368,0.4035908,1
-0.542125,-0.26582086,0.37596726,1
-0.54137176,-0.27649796,0.35152966,2
-0.53072524,-0.28009468,0.34347844,2
-0.52270114,-0.2700128,0.34215245,2
-0.52681917,-0.24123459,0.36798254,2
-0.5263455,-0.2301604,0.368401,2
-0.52369255,-0.22654058,0.36153394,2
-0.5455113,-0.22682674,0.3299244,2
-0.57432777,-0.22772022,0.29656386,2
-0.61304384,-0.2248442,0.26560032,2
-0.646965,-0.21577345,0.24835306,2
-0.66957396,-0.19980563,0.24914163,2
-0.6902525,-0.19014552,0.26510906,2
-0.70724976,-0.18031266,0.28209475,0
-0.7240827,-0.17126258,0.2978841,0
-0.73867214,-0.15262751,0.3264907,0
-0.73808503,-0.1403535,0.3653928,0
-0.7158633,-0.1318214,0.38504803,0
-0.7073854,-0.13353907,0.38941717,0
-0.6999295,-0.12509821,0.39906675,0
-0.6909282,-0.11769687,0.41787958,0
-0.6870731,-0.10685952,0.4351444,0
-0.68663174,-0.09859966,0.4343592,0
-0.68285316,-0.090336755,0.43273637,0
-0.67753106,-0.088604376,0.42410654,0
-0.6986295,-0.088154,0.39361545,0
-0.7228556,-0.08471374,0.37702027,0
-0.733539,-0.074539706,0.37848318,0
-0.7462657,-0.07262595,0.363986,0
-0.7549841,-0.07204844,0.35867143,0
-0.75870746,-0.07241382,0.3581429,0
-0.7645181,-0.06914236,0.35899928,0
-0.76884806,-0.07284354,0.3563369,0
-0.76780826,-0.07563321,0.3667199,0
-0.76361686,-0.077419326,0.3791191,0
-0.7581966,-0.08932628,0.37492907,0
-0.75317186,-0.09810431,0.37178063,0
-0.7509315,-0.102127805,0.37694907,0
-0.7468744,-0.10888955,0.385136,0
-0.7457615,-0.108015195,0.39724696,0
-0.7217069,-0.09674777,0.42281634,0
-0.6680977,-0.093332574,0.45600712,0
-0.6162582,-0.10065444,0.4829173,0
-0.573743,-0.10237722,0.503576,0
-0.54150176,-0.10623267,0.5195713,0
-0.5124269,-0.11164309,0.52380675,0
-0.51029956,-0.11441678,0.4861962,0
-0.5141086,-0.12880181,0.44120556,0
-0.5318175,-0.13591197,0.3856625,2
-0.5526041,-0.14422598,0.33331364,2
-0.57966703,-0.12348525,0.32242262,2
-0.5994037,-0.10188447,0.34064576,0
-0.6105473,-0.09849855,0.34143382,0
-0.62199414,-0.09152658,0.33680734,0
-0.62540585,-0.08138047,0.3390373,0
-0.6118742,-0.079738244,0.3595481,0
-0.59329295,-0.07810648,0.377739,0
-0.5800659,-0.07465106,0.39345655,0
-0.5696516,-0.06472199,0.40266478,0
-0.5677546,-0.06262438,0.39986652,0
-0.5698791,-0.063746884,0.38885522,0
-0.56366104,-0.0555124,0.38294506,0
-0.5491184,-0.048448175,0.38688692,0
-0.5355449,-0.045094565,0.3808635,0
-0.5344585,-0.039773524,0.37764978,0
-0.53492004,-0.034262076,0.3877593,0
-0.5403649,-0.033249393,0.3907124,0
-0.5479273,-0.033937633,0.37889153,0
-0.5474897,-0.033001095,0.36238468,0
-0.5493625,-0.02665566,0.35313836,0
-0.55453646,-0.026679218,0.34161243,0
-0.5643204,-0.021902189,0.33827034,0
-0.57122564,-0.018583521,0.3423076,0
-0.57892585,-0.036361292,0.33120793,0
-0.5867112,-0.042375997,0.30942813,0
-0.5927874,-0.048446015,0.29243472,2
-0.5905034,-0.04842338,0.2823059,2
-0.5903272,-0.048515618,0.2770606,2
-0.5854976,-0.05556652,0.29531404,2
-0.5825876,-0.06960164,0.30084723,2
-0.5879817,-0.0897342,0.29462457,2
-0.59117943,-0.099496484,0.2796748,2
-0.5960213,-0.10793485,0.26508743,2
-0.60423934,-0.11711879,0.25482857,2
-0.6072163,-0.12087701,0.2467655,2
-0.6001133,-0.13242368,0.2545032,2
-0.59234095,-0.1431982,0.2635314,2
-0.5827453,-0.14690433,0.270077,2
-0.5708514,-0.1484638,0.28690737,2
-0.5583274,-0.15218173,0.29138395,2
-0.55504924,-0.15895861,0.27660796,2
-0.5524302,-0.15729815,0.26774517,2
-0.5525664,-0.16299802,0.2570692,2
-0.55951726,-0.17446637,0.2353464,2
-0.56900114,-0.16878572,0.21973687,2
-0.5736458,-0.16094187,0.21799076,2
-0.58085513,-0.16311415,0.21248376,2
-0.59238565,-0.16492464,0.2045897,2
-0.6046646,-0.15948372,0.20369294,2
-0.6230207,-0.15279067,0.20124397,2
-0.63654214,-0.14615084,0.1963248,2
-0.65400404,-0.143402,0.19362643,2
