日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2024-08-08,"41,288,222","37,045,507,217",901.0,905.0,887.0,896.0,-24.00,"107,303",882.8,964.95,,,,898.5887877856692,937.4090374556661,43.99232692917822,-19.413694441269968,-6.740240762449825,-12.673453678820142,964.95,964.95
2024-08-09,"54,464,183","50,586,946,042",927.0,934.0,922.0,934.0,+38.00,"94,661",889.0,959.4,,,,910.3925251904461,937.0843672217932,48.95993109591929,-16.944945104853105,-8.781181630930481,-8.163763473922623,959.4,959.4
2024-08-12,"40,968,742","38,572,439,136",942.0,948.0,931.0,940.0,+6.00,"73,731",914.0,952.4,,,,920.2616834602975,937.3620465340033,49.71826770407304,-14.339002518146458,-9.892745808373677,-4.446256709772781,952.4,952.4
2024-08-13,"26,831,364","25,227,760,336",945.0,945.0,937.0,941.0,+1.00,"39,633",926.2,947.45,,,,927.1744556401984,937.7085182926696,49.85200046657633,-12.054130092457171,-10.325022665190376,-1.7291074272667952,947.45,947.45
2024-08-14,"40,527,779","38,507,151,446",951.0,955.0,945.0,948.0,+7.00,"56,190",931.8,942.85,,951.32,,934.1163037601324,938.6886594076534,50.83769543738328,-9.568214316290891,-10.173660995410481,0.6054466791195896,942.85,951.32
2024-08-15,"21,714,163","20,528,538,286",945.0,950.0,941.0,943.0,-5.00,"42,553",941.2,937.25,,953.26,,937.0775358400883,939.0992632735912,50.080489277226626,-7.910380425376616,-9.721004881403708,1.8106244560270923,937.25,953.26
2024-08-16,"49,830,670","48,022,581,452",963.0,969.0,958.0,969.0,+26.00,"86,023",948.2,934.2,,955.86,,947.7183572267256,941.9469524856302,53.92369763387463,-4.447286859271344,-8.666261276977236,4.218974417705892,934.2,955.86
2024-08-19,"22,416,274","21,737,948,903",969.0,975.0,964.0,973.0,+4.00,"43,467",954.8,932.6,,958.24,,956.1455714844838,944.9043855822367,54.5040182215695,-1.3642672634991868,-7.205862474281626,5.841595210782439,932.6,958.24
2024-08-20,"26,420,625","25,701,355,510",977.0,977.0,968.0,973.0, 0.00,"43,667",961.2,932.75,,959.82,,961.7637143229892,947.5801583839284,54.50401822156951,1.066751135051618,-5.551339752414978,6.618090887466596,932.75,959.82
2024-08-21,"32,606,816","31,287,150,192",961.0,964.0,956.0,958.0,-15.00,"83,432",963.2,933.7,,961.4,,960.5091428819928,948.5725242521256,51.67354376877268,1.7626572748273475,-4.0885403469665125,5.85119762179386,933.7,961.4
2024-08-22,"25,850,379","24,661,701,935",958.0,964.0,948.0,951.0,-7.00,"58,791",964.8,932.3,,962.76,,957.3394285879953,948.8037124185898,50.359223493531566,1.7293910621178838,-2.9249540651496333,4.654345127267517,932.3,962.76
2024-08-23,"31,203,321","29,530,574,857",944.0,952.0,939.0,949.0,-2.00,"57,023",960.8,933.55,,963.56,,954.5596190586637,948.8224064739622,49.968163858009405,1.524075470255866,-2.0351481580685338,3.5592236283244,933.55,963.56
2024-08-26,"26,518,126","25,271,527,066",957.0,961.0,945.0,950.0,+1.00,"50,970",956.2,933.85,,964.18,,953.0397460391091,948.9345582383468,50.176494395987845,1.425619374406665,-1.342994651573494,2.768614025980159,933.85,964.18
2024-08-27,"19,969,925","18,819,208,932",945.0,946.0,940.0,942.0,-8.00,"53,273",950.0,933.95,,964.58,,949.3598306927395,948.2741241204089,48.438795599600624,0.694058394759395,-0.9355840423069164,1.6296424370663114,933.95,964.58
2024-08-28,"33,519,083","31,994,192,847",945.0,964.0,943.0,964.0,+22.00,"45,785",951.2,935.45,952.3,965.44,,954.2398871284931,949.771826585132,53.235148416266206,1.867974340679666,-0.3748723657095999,2.242846706389266,935.45,965.44
2024-08-29,"46,275,772","43,616,354,135",942.0,947.0,937.0,943.0,-21.00,"103,424",949.6,934.6,953.9166666666666,965.44,,950.4932580856621,949.1268907198813,48.58886087167046,1.0912079240566754,-0.08165630775634486,1.1728642318130202,934.6,965.44
2024-08-30,"75,533,393","71,355,905,880",944.0,952.0,941.0,944.0,+1.00,"34,366",948.6,936.65,955.6666666666666,964.7,,948.3288387237748,948.638615413226,48.81794275302728,0.5499669090493171,0.04466833560478754,0.5052985734445296,936.65,964.7
2024-09-02,"19,272,593","18,270,058,260",950.0,955.0,943.0,948.0,+4.00,"31,642",948.2,943.3,957.2333333333333,964.04,,948.2192258158499,948.5777948976806,49.78185795559923,0.4387385706927489,0.12348238262237982,0.3152561880703691,943.3,964.04
2024-09-03,"23,205,623","21,908,471,541",948.0,952.0,939.0,940.0,-8.00,"47,139",947.8,946.3,958.0,963.44,,945.4794838772334,947.7608620502825,47.841247931737186,-0.2915826467740317,0.04046937674309752,-0.3320520235171292,946.3,963.44
2024-09-04,"93,169,835","83,424,133,824",894.0,905.0,888.0,889.0,-51.00,"393,210",932.8,944.75,958.1666666666666,962.42,,926.6529892514891,942.1645894740651,37.74075396559945,-4.928824824028311,-0.9533894634111842,-3.975435360617127,944.75,962.42
2024-09-05,"34,147,890","30,998,595,394",907.0,915.0,900.0,902.0,+13.00,"63,902",924.6,945.05,958.4833333333333,961.56,,918.4353261676595,938.3393904765351,41.1513811411775,-7.468785791118989,-2.2564687289527456,-5.212317062166244,945.05,961.56
2024-09-06,"28,248,063","25,786,016,936",909.0,918.0,903.0,918.0,+16.00,"38,415",919.4,944.25,958.6333333333333,960.72,,918.2902174451064,936.4023056692461,45.1350796058713,-8.097316055465171,-3.424638194255231,-4.672677861209941,944.25,960.72
2024-09-09,"38,448,946","34,456,838,126",892.0,900.0,891.0,899.0,-19.00,"102,365",909.6,942.2,958.3,959.5,,911.8601449634043,932.840181319794,41.539036385054594,-10.013146706386237,-4.7423398966814325,-5.270806809704805,942.2,959.5
