日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,returns,volatility
2021-09-15,"64,013,002","7,002,242,836",108.0,110.5,107.5,108.5,+1.00,"27,970",107.5,108.375,111.05833333333334,110.61,109.707,107.9375702117742,108.69210891735644,48.42332935293293,-0.5656924175960967,-0.4968123706855038,-0.0688800469105928,108.375,110.61,0.009302325581395321,0.01418298653353897
2021-09-16,"23,004,506","2,488,329,118",108.5,109.5,107.5,107.5,-1.00,"11,043",107.6,108.6,110.96666666666668,110.45,109.83,107.79171347451611,108.57857473475106,45.45541439763109,-0.5935978394525279,-0.5161694644389087,-0.0774283750136192,108.6,110.45,-0.009216589861751112,0.014261084000167217
2021-09-17,"46,682,899","5,061,166,381",107.5,109.5,107.0,108.5,+1.00,"10,254",107.7,108.8,110.89166666666668,110.34,109.9625,108.02780898301076,108.57109142667952,48.83274524067831,-0.5289243341895968,-0.5187204383890462,-0.0102038958005505,108.8,110.34,0.009302325581395321,0.014355175048098193
2021-09-22,"38,855,713","4,142,578,220",106.5,107.5,106.0,107.0,-1.50,"18,533",107.8,108.775,110.81666666666666,110.18,110.0875,107.68520598867386,108.42146367175766,44.39249490731108,-0.5918847009016588,-0.5333532908915688,-0.0585314100100899,108.775,110.18,-0.01382488479262678,0.014531482922532372
2021-09-23,"18,991,583","2,029,833,013",107.0,108.0,106.0,106.5,-0.50,"9,716",107.6,108.65,110.73333333333332,109.98,110.205,107.29013732578258,108.23846713159028,42.9892933727853,-0.6743535386287647,-0.5615533404390081,-0.1128001981897566,108.65,110.205,-0.004672897196261627,0.013417542622164371
2021-09-24,"15,366,616","1,652,429,167",107.5,108.0,107.0,107.5,+1.00,"7,419",107.4,108.6,110.65833333333332,109.81,110.3295,107.36009155052172,108.16813692858167,46.62323091531722,-0.6515088554960897,-0.5795444434504244,-0.0719644120456652,108.6,110.3295,0.009389671361502261,0.01350880107903041
2021-09-27,"13,936,074","1,502,118,415",107.0,108.5,107.0,107.5, 0.00,"7,375",107.4,108.6,110.58333333333331,109.57,110.4555,107.40672770034784,108.10450484014532,46.62323091531721,-0.6261859971386485,-0.5888727541880693,-0.0373132429505792,108.6,110.4555,0.0,0.01350880107903041
2021-09-28,"22,319,338","2,378,000,921",107.0,107.5,106.0,106.5,-1.00,"11,238",107.0,108.525,110.5,109.31,110.5735,107.10448513356523,107.95169485536958,43.41386763559861,-0.6789822078598604,-0.6068946449224275,-0.0720875629374329,108.525,110.5735,-0.009302325581395321,0.013606348682277211
2021-09-29,"32,798,414","3,441,324,697",105.0,105.5,104.5,105.0,-1.50,"26,132",106.6,108.325,110.3,109.08,110.685,106.4029900890435,107.6705810596201,39.06946633864842,-0.8322671910988788,-0.6519691541577177,-0.1802980369411611,108.325,110.685,-0.014084507042253502,0.0136171790824747
2021-09-30,"24,317,553","2,554,201,387",105.0,106.0,104.0,105.0, 0.00,"11,340",106.3,108.025,110.10833333333332,108.89,110.8,105.935326726029,107.41624000632297,39.06946633864842,-0.942877737042835,-0.7101508707347411,-0.2327268663080938,108.025,110.8,0.0,0.013519965102566084
2021-10-01,"36,074,566","3,737,734,962",104.5,105.0,103.0,103.0,-2.00,"24,649",105.4,107.625,109.90833333333332,108.7,110.9005,104.95688448401934,106.99564572000648,33.83392135166365,-1.1783375352947587,-0.8037882036467447,-0.3745493316480139,107.625,110.9005,-0.01904761904761909,0.01390192445883416
2021-10-04,"25,434,032","2,627,827,660",104.5,105.0,102.5,103.0, 0.00,"13,424",104.5,107.2,109.7,108.55,110.976,104.3045896560129,106.6151080323868,33.833921351663655,-1.3493862372266534,-0.9129078103627264,-0.4364784268639269,107.2,110.976,0.0,0.01210362660926914
2021-10-05,"43,345,161","4,403,998,216",102.0,102.5,101.0,101.5,-1.50,"24,840",103.5,106.65,109.49166666666666,108.37,111.0455,103.36972643734194,106.12795488644522,30.301888440412945,-1.5876792517063336,-1.047862098631448,-0.5398171530748856,106.65,111.0455,-0.014563106796116498,0.012069164601884457
2021-10-06,"40,294,629","4,180,811,261",103.5,104.5,103.0,103.0,+1.50,"17,917",103.1,106.25,109.29166666666669,108.23,111.1155,103.2464842915613,105.83005442106948,37.3457035411354,-1.636624727418834,-1.1656146243889252,-0.4710101030299087,106.25,111.1155,0.014778325123152802,0.011121543729295677
2021-10-07,"38,383,881","4,075,145,593",104.5,107.0,104.0,107.0,+4.00,"18,047",103.5,106.175,109.13333333333334,108.14,111.212,104.4976561943742,105.94147780953908,51.43938697340113,-1.337233009217286,-1.1999383013545974,-0.1372947078626885,106.175,111.212,0.03883495145631066,0.013061777914059311
2021-10-08,"27,568,061","2,961,998,681",107.5,108.0,106.5,108.0,+1.00,"12,592",104.5,106.2,109.0,108.09,111.314,105.66510412958282,106.13752754196392,54.21236578629215,-1.007655645848942,-1.1614817702534666,0.1538261244045244,106.2,111.314,0.009345794392523255,0.013160066542955148
2021-10-12,"38,777,410","4,082,299,711",106.5,107.0,104.5,105.0,-3.00,"16,707",104.9,106.1,108.75833333333334,107.97,111.4005,105.44340275305522,106.0291915855864,45.76860363333984,-0.9772727469609066,-1.1246399655949546,0.147367218634048,106.1,111.4005,-0.02777777777777779,0.014013522244540142
2021-10-13,"18,802,301","1,980,524,377",106.0,106.5,104.5,105.5,+0.50,"10,776",105.7,105.975,108.525,107.88,111.4925,105.46226850203684,105.97879238695911,47.24345221030962,-0.9024454302029454,-1.080201058516553,0.1777556283136072,105.975,111.4925,0.004761904761904745,0.014014992050548968
2021-10-14,"17,764,699","1,899,471,130",107.0,107.5,106.5,106.5,+1.00,"8,638",106.4,105.975,108.35833333333332,107.75,111.584,105.8081790013579,106.02843120724872,50.16266743404844,-0.7537636814016508,-1.0149135830935725,0.2611499016919216,105.975,111.584,0.009478672985782088,0.014020417025843453
2021-10-15,"49,336,872","5,372,684,627",108.0,110.0,107.5,109.5,+3.00,"25,187",106.9,106.075,108.275,107.71,111.6925,107.03878600090528,106.35905680655836,57.72091723183895,-0.3893689929516171,-0.8898046650651814,0.5004356721135643,106.075,111.6925,0.028169014084507005,0.014583317196013619
2021-10-18,"42,330,142","4,608,902,380",110.5,111.0,107.0,107.5,-2.00,"22,880",106.8,106.025,108.19166666666666,107.62,111.7915,107.19252400060353,106.46771806307665,52.05321018883468,-0.2589814849870464,-0.7636400290495544,0.504658544062508,106.025,111.7915,-0.0182648401826484,0.01494493642336843
2021-10-19,"26,479,700","2,845,164,375",108.5,109.0,106.5,107.0,-0.50,"17,559",107.2,106.0,108.13333333333334,107.52,111.8865,107.12834933373568,106.51841158087886,50.71256323865742,-0.1937607139608133,-0.6496641660318062,0.4559034520709929,106.0,111.8865,-0.0046511627906976605,0.01492296891993581
2021-10-20,"29,508,905","3,171,041,387",107.5,108.5,106.5,107.5,+0.50,"16,183",107.6,105.95,108.08333333333331,107.42,111.98550000000002,107.25223288915711,106.61189619222374,52.04272985407344,-0.1005676800917143,-0.5398448688437879,0.4392771887520735,105.95,111.98550000000002,0.004672897196261738,0.014841776381821627
2021-10-21,"30,590,262","3,302,542,666",108.0,108.5,107.0,108.0,+0.50,"8,301",107.9,106.0,108.05,107.34,112.0815,107.50148859277142,106.74409655486907,53.397191113819005,0.0134789154477914,-0.429180111985472,0.4426590274332634,106.0,112.0815,0.0046511627906977715,0.014706083844565478
2021-10-22,"14,751,899","1,590,679,060",108.0,108.5,107.0,107.5,-0.50,"7,061",107.5,106.05,107.98333333333332,107.32,112.171,107.50099239518096,106.81608735916728,51.82102207702311,0.062792015480781,-0.3307856864922214,0.3935777019730025,106.05,112.171,-0.00462962962962965,0.014147300640807358
2021-10-25,"21,266,978","2,300,605,515",107.5,109.0,107.0,108.0,+0.50,"9,801",107.6,106.075,107.94166666666666,107.3,112.252,107.66732826345398,106.92884094400848,53.305370968229965,0.1405980965267872,-0.2365089298884197,0.3771070264152069,106.075,112.252,0.0046511627906977715,0.014069290759485304
2021-10-26,"18,109,494","1,970,534,065",108.5,109.5,108.0,109.0,+1.00,"8,008",108.0,106.15,107.90833333333332,107.3,112.338,108.111552175636,107.12609418743624,56.21111262367524,0.2797270990952825,-0.1332617240916793,0.4129888231869618,106.15,112.338,0.0092592592592593,0.014131281375923507
2021-10-27,"15,933,998","1,722,962,751",109.0,109.0,107.5,108.0,-1.00,"7,865",108.1,106.225,107.875,107.28,112.426,108.07436811709069,107.20932331244232,52.68069373068504,0.3057714504057003,-0.0454550891922033,0.3512265395979037,106.225,112.426,-0.00917431192660545,0.01414570000791997
2021-10-28,"14,245,290","1,542,758,851",108.0,109.0,107.5,108.5,+0.50,"6,112",108.2,106.4,107.8,107.3,112.5105,108.2162454113938,107.33224490173352,54.22862855219998,0.362578033906388,0.0361515354275148,0.3264264984788731,106.4,112.5105,0.004629629629629539,0.013916572748641368
