日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level,股票代碼
2013-02-21,33445606,2800151122,84.7,84.8,83.2,83.2,-1.6,12315,83.7,84.11,88.3816666666667,87.662,87.854,83.7695842166285,84.5544590560988,41.5774773951871,-0.990204472865642,-1.15404401297822,0.163839540112582,84.11,87.854,2317
2013-02-21,30551806,3287642271,108.5,108.5,107,107,-2,7485,107,102.36,98.985,99.816,88.0505,106.675183657786,103.233366645681,67.6681955253148,2.20614568057115,1.60599318866939,0.600152491901769,88.0505,102.36,2330
2013-02-21,4828703,1574624678,326,327,325,326,0,2424,325.2,320.925,321.633333333333,321.6,300.2925,325.363934680303,322.409784297768,58.9601309692842,2.12072488864698,1.56539870379308,0.555326184853894,300.2925,321.6,2454
2013-02-22,25031470,2076457220,82.6,83.2,82.6,83.2,0,11585,83.62,84.07,88.27,87.42,87.82,83.5797228110857,84.425462955518,41.5774773951871,-0.982256923902241,-1.11968659516303,0.137429671260786,84.07,87.82,2317
2013-02-22,39577666,4188440636,106,106.5,105,105.5,-1.5,10313,107.1,102.675,99.2366666666667,99.994,88.14,106.283455771857,103.44923648895,60.7910053210475,2.11109954311475,1.70701445955846,0.404085083556289,88.14,102.675,2330
2013-02-22,3946411,1287494897,326,327,324.5,327,1,2484,325.6,321.8,321.95,321.5,300.5725,325.909289786868,322.84694769798,60.6093444315634,2.20989263866863,1.69429749076819,0.515595147900442,300.5725,321.8,2454
2013-02-23,8771441,729148542,83.3,83.6,82.9,83.1,-0.1,4629,83.68,84.03,88.17,87.182,87.793,83.4198152073904,84.2992283883258,41.1811048288903,-0.972813608630019,-1.09031199785643,0.117498389226406,84.03,87.793,2317
2013-02-23,10174533,1083855709,106.5,107.5,106,107,1.5,3022,107.1,103.06,99.5116666666667,100.196,88.247,106.522303847905,103.787404442383,64.6590328322355,2.13223320131142,1.79205820790905,0.340174993402371,88.247,103.06,2330
2013-02-23,1852908,605343942,328,328,325.5,326.5,-0.5,1413,325.9,322.775,322.216666666667,321.43,300.8375,326.106193191246,323.19485744103,59.325631365522,2.21468340989742,1.79837467459404,0.41630873530338,300.8375,322.775,2454
2013-02-25,16127687,1339404167,83.2,83.5,82.8,82.8,-0.3,7715,83.42,83.9,88.0666666666667,86.948,87.7645,83.2132101382603,84.1564447322947,39.9506237090712,-0.978260428759981,-1.06790168403714,0.089641255277156,83.9,87.7645,2317
2013-02-25,37216683,3938987715,106.5,107,105,105,-2,8564,106.7,103.235,99.74,100.364,88.35,106.014869231937,103.902889733585,56.6363030602569,1.9649477973195,1.82663612579114,0.138311671528356,88.35,103.235,2330
2013-02-25,12241871,4102014185,328,339.5,325.5,336.5,10,7894,328.4,324.15,322.608333333333,321.69,301.195,329.57079546083,324.462013875217,72.0678976941589,2.99091910348238,2.03688356037171,0.954035543110677,301.195,324.15,2454
2013-02-26,40026524,3286562047,82.3,82.6,81.7,81.7,-1.1,18688,82.8,83.755,87.895,86.672,87.7365,82.7088067588402,83.9224976149333,35.7344354062494,-1.05912890118363,-1.06614712746643,0.007018226282808,83.755,87.7365,2317
2013-02-26,38498610,4006611594,103.5,105,102.5,103.5,-1.5,9572,105.6,103.385,99.8733333333334,100.472,88.4445,105.176579487958,103.864519282767,51.4774200476044,1.6918330472139,1.79967551007569,-0.107842462861788,88.4445,103.385,2330
2013-02-26,6896278,2293044240,335.5,336.5,330,330,-6.5,4970,329.2,324.825,322.775,321.82,301.52,329.713863640554,324.989441125197,59.106321198023,3.04647790496938,2.23880242929124,0.807675475678137,301.52,324.825,2454
2013-02-27,31950955,2619602830,82.4,82.5,81.7,81.7,0,11837,82.5,83.57,87.71,86.384,87.7065,82.3725378392268,83.7108311754159,35.7344354062494,-1.11041754594652,-1.07500121116245,-0.035416334784067,83.57,87.7065,2317
2013-02-27,81358059,8385327394,102,104.5,101,104.5,1,13654,105.1,103.56,100.026666666667,100.632,88.5405,104.951052991972,103.925041255837,54.4558462493049,1.53834618548204,1.74740964515696,-0.209063459674922,88.5405,103.56,2330
2013-02-27,6726067,2244203811,332,335.5,331.5,333.5,3.5,4099,330.7,325.575,322.916666666667,322.13,301.8675,330.975909093702,325.799970541845,62.9684538812518,3.33449146277292,2.45794023598758,0.87655122678534,301.8675,325.575,2454
2013-03-01,39584092,3233122458,81.7,82.7,81.1,81.6,-0.1,17094,82.18,83.4,87.5233333333333,86.116,87.6825,82.1150252261512,83.5097996349001,35.3411983931069,-1.14592383405478,-1.08918573574092,-0.056738098313866,83.4,87.6825,2317
2013-03-01,35081170,3651664826,103,105,102.5,105,0.5,9263,105,103.76,100.171666666667,100.766,88.638,104.967368661315,104.02741827909,55.9130091458997,1.4404479754587,1.68601731121731,-0.245569335758614,88.638,103.76,2330
2013-03-01,8561292,2896711519,338,340,336.5,338.5,5,5435,333,326.625,323.15,322.46,302.245,333.483939395802,327.009497156907,67.6664347725161,3.92100360677546,2.75055291014515,1.1704506966303,302.245,326.625,2454
2013-03-04,37579092,3038498477,81.6,81.8,80.3,80.5,-1.1,17484,81.66,83.3,87.31,85.814,87.6505,81.5766834841008,83.2231520506239,31.2654321471134,-1.24843247762618,-1.12103508411797,-0.127397393508211,83.3,87.6505,2317
2013-03-04,55265946,5652060892,104.5,104.5,101.5,102,-3,11896,104,103.865,100.273333333333,100.838,88.721,103.97824577421,103.834330823939,46.3341716706339,1.10801549779985,1.57041694853382,-0.462401450733964,88.721,103.865,2330
2013-03-04,11990457,4089644380,340.5,342.5,339,341.5,3,7097,336,327.75,323.441666666667,322.48,302.6325,336.155959597201,328.389545046725,70.1161306114891,4.57515410584551,3.11547314928522,1.45968095656029,302.6325,327.75,2454
2013-03-05,48598357,3899141135,81,81.1,79.7,80,-0.5,20827,81.1,83.13,87.0933333333333,85.494,87.6235,81.0511223227339,82.9161851886597,29.5947105176251,-1.35440440660518,-1.16770894861541,-0.18669545798977,83.13,87.6235,2317
2013-03-05,56213527,5798480893,103.5,104,102.5,104,2,9603,103.8,104.115,100.398333333333,100.934,88.8135,103.985497182806,103.850108840707,52.2119436017486,0.99447990421757,1.45522953967057,-0.460749635452999,88.8135,104.115,2330
2013-03-05,16536453,5728178705,344,352,342,347.5,6,10161,338.2,329.025,323.775,322.64,303.025,339.937306398134,330.209588375609,74.3085263025744,5.51415915091923,3.59521034961203,1.9189488013072,303.025,329.025,2454
2013-03-06,63565651,5120666145,80.5,81.3,79.8,80.5,0.5,24639,80.86,82.975,86.8816666666667,85.274,87.612,80.8674148818226,82.6860723135493,33.4258667579678,-1.38210999874991,-1.21058915864231,-0.171520840107598,82.975,87.612,2317
2013-03-06,38026322,3944092785,104,104.5,103,104,0,6844,103.9,104.35,100.486666666667,101.046,88.9165,103.990331455204,103.864384189211,52.2119436017486,0.894194411761731,1.3430225140888,-0.448828102327071,88.9165,104.35,2330
2013-03-06,9988019,3487597303,350.5,353,346,346,-1.5,6064,341.4,330.075,324.033333333333,322.77,303.445,341.958204265423,331.713437101741,71.6040227859444,6.06734932411467,4.08963814451256,1.97771117960212,303.445,330.075,2454
2013-03-07,37728018,3044562855,80.6,81.5,80.2,80.4,-0.1,16882,80.6,82.75,86.6433333333333,85.138,87.5855,80.7116099212151,82.4683511408303,33.0386434760485,-1.39604332594308,-1.24767999210247,-0.148363333840616,82.75,87.5855,2317
2013-03-07,20783572,2150594416,103.5,104,103,103,-1,6812,103.6,104.45,100.571666666667,101.166,89.006,103.660220970136,103.782061885476,49.0939026035439,0.72566082750987,1.21955017677302,-0.493889349263145,89.006,104.45,2330
2013-03-07,6026974,2086224030,346,348.5,344,346,0,3716,343.9,331.125,324.216666666667,322.93,303.8125,343.305469510282,333.074062139671,71.6040227859444,6.43161684642888,4.55803388489582,1.87358296153306,303.8125,331.125,2454
2013-03-08,32053633,2590590499,81,81.3,80.5,80.5,0.1,12430,80.38,82.53,86.3966666666667,84.98,87.572,80.64107328081,82.2808891274179,33.8637368882854,-1.3830732167532,-1.27475863703261,-0.108314579720589,82.53,87.572,2317
2013-03-08,46036003,4753123583,103,104.5,102,103.5,0.5,8598,103.3,104.55,100.686666666667,101.302,89.1145,103.606813980091,103.755198848764,50.6798579932377,0.625235246372242,1.10068719069286,-0.475451944320619,89.1145,104.55,2330
2013-03-08,6846449,2395295303,346.5,353.5,346.5,348,2,4930,345.8,332.275,324.483333333333,323.18,304.2425,344.870313006855,334.495580031131,73.1170077507399,6.80326100953624,5.00707930982391,1.79618169971234,304.2425,332.275,2454
2013-03-11,24324011,1953431699,80.5,80.8,79.8,80.5,0,10789,80.38,82.335,86.155,84.818,87.5585,80.5940488538734,82.1112806390924,33.8637368882854,-1.35714993215424,-1.29123689605694,-0.065913036097303,82.335,87.5585,2317
2013-03-11,36093271,3706837142,102,104,102,102,-1.5,9071,103.3,104.575,100.771666666667,101.396,89.212,103.071209320061,103.588037053644,46.0452603729812,0.41977092785848,0.964503938125984,-0.544733010267505,89.212,104.575,2330
2013-03-11,9114978,3192862322,352,352,349,350,2,4152,347.5,333.625,324.816666666667,323.64,304.6825,346.580208671236,335.972191456737,74.5758518630473,7.1764493309505,5.44095331404923,1.73549601690128,304.6825,333.625,2454
2013-03-12,25710881,2071599062,80,81.2,80,80.5,0,11528,80.48,82.13,85.9216666666667,84.666,87.525,80.5626992359156,81.9578253401312,33.8637368882854,-1.32137357034989,-1.29726423091553,-0.024109339434361,82.13,87.525,2317
2013-03-12,30064912,3075447024,102,103,101.5,102.5,0.5,6294,103,104.625,100.87,101.526,89.3135,102.880806213374,103.484414477106,47.760172256705,0.293896935543046,0.830382537609397,-0.536485602066351,89.3135,104.625,2330
2013-03-12,13193909,4708605377,350,360,349,355,5,8137,349,335.15,325.341666666667,324.28,305.145,349.386805780824,337.784363698953,77.8168526479486,7.78591084395652,5.90994482003068,1.87596602392583,305.145,335.15,2454
2013-03-13,29143039,2340016434,80.5,81,80,80,-0.5,13241,80.38,81.93,85.6633333333333,84.526,87.49,80.3751328239437,81.7713657839282,31.4441418891004,-1.31817130887525,-1.30144564650747,-0.016725662367776,81.93,87.49,2317
2013-03-13,57955306,6009069324,102.5,105,102,104.5,2,9978,103.1,104.7,100.976666666667,101.72,89.4405,103.420537475582,103.581136907858,54.0513204929886,0.351472617511931,0.734600553589904,-0.383127936077973,89.4405,104.7,2330
2013-03-13,5934817,2107189143,358,359.5,352,352.5,-2.5,4134,350.3,336.525,325.825,324.91,305.6425,350.424537187216,339.185852870481,72.8184757829657,7.97525065222101,6.32300598646875,1.65224466575226,305.6425,336.525,2454
2013-03-14,22003677,1775737114,80.5,81.2,80.1,80.5,0.5,10265,80.4,81.8,85.4033333333333,84.374,87.466,80.4167552159625,81.650283328316,36.3424112597121,-1.26075447941363,-1.29330741308871,0.032552933675072,81.8,87.466,2317
2013-03-14,33067465,3435727588,104,104.5,103,104,-0.5,7022,103.3,104.75,101.101666666667,101.886,89.5575,103.613691650388,103.621028630919,52.3538527828723,0.352690344211069,0.658218511714137,-0.305528167503067,89.5575,104.75,2330
2013-03-14,7283887,2529506241,352.5,354,343,343,-9.5,5060,349.7,337.375,326.241666666667,325.42,306.075,347.949691458144,339.549104978054,57.6615830349439,7.27487300169065,6.51337938951313,0.761493612177522,306.075,337.375,2454
2013-03-15,38879035,3151951608,81.1,81.5,80.7,80.7,0.2,12845,80.44,81.655,85.165,84.232,87.449,80.511170143975,81.5597801541907,38.2431732578396,-1.18544779559711,-1.27173548959039,0.086287693993274,81.655,87.449,2317
2013-03-15,35632988,3696617211,105,105,103,103,-1,6030,103.2,104.65,101.18,102.042,89.6725,103.409127766926,103.561883047022,49.0369457095521,0.269853060636763,0.580545421498662,-0.310692360861899,89.6725,104.65,2330
2013-03-15,6294961,2164173652,348,348,341.5,341.5,-1.5,3667,348.4,338.2,326.566666666667,325.9,306.51,345.799794305429,339.734904503954,55.6905125910662,6.52358141792251,6.51541979519501,0.008161622727508,306.51,338.2,2454
2013-03-18,33796945,2758338773,81,82.2,81,81.5,0.8,15352,80.64,81.59,84.93,84.086,87.4295,80.8407800959833,81.5540868061725,45.2813131919004,-1.04911979208735,-1.22721235008978,0.178092558002428,81.59,87.4295,2317
2013-03-18,44188807,4472705507,102,102,100.5,100.5,-2.5,11128,102.9,104.325,101.215,102.122,89.767,102.439418511284,103.270275137782,41.8914165581092,0.002446607002923,0.464925658599514,-0.462479051596591,89.767,104.325,2330
2013-03-18,6437628,2185719055,341,341.5,338.5,338.5,-3,4044,346.1,338.875,326.533333333333,326.23,306.9075,343.366529536953,339.617294551196,51.8714346368785,5.62130360821328,6.33659655779866,-0.71529294958538,306.9075,338.875,2454
2013-03-19,53734406,4446571066,82.1,83.7,81.8,83.2,1.7,23103,81.18,81.545,84.7166666666667,83.98,87.398,81.6271867306556,81.7108404436799,56.6002114491967,-0.794741786008913,-1.14071823727361,0.345976451264694,81.545,87.398,2317
2013-03-19,50765167,5104261200,101,101.5,99.6,100,-0.5,11099,102.4,103.975,101.228333333333,102.202,89.8555,101.626279007522,102.958820362755,40.6166525582613,-0.246973795211659,0.32254576783728,-0.569519563048939,89.8555,103.975,2330
2013-03-19,8213189,2800092760,343.5,344.5,339,340,1.5,4256,343.1,339.675,326.541666666667,326.6,307.245,342.244353024635,339.653742689178,53.5853412609889,4.96998847401704,6.06327494104234,-1.09328646702529,307.245,339.675,2454
2013-03-20,32794092,2712950623,83.5,83.5,82,82.1,-1.1,13900,81.6,81.41,84.56,83.842,87.364,81.7847911537704,81.7479032585675,49.4694771065724,-0.67413517969662,-1.04740162575821,0.37326644606159,81.41,87.364,2317
2013-03-20,64024225,6344606455,99.5,99.5,98.8,98.8,-1.2,13861,101.26,103.465,101.235,102.266,89.941,100.684186005015,102.562742232969,37.6550682007558,-0.535300619793318,0.15097649031116,-0.686277110104478,89.941,103.465,2330
2013-03-20,7973552,2724703828,340,347,338,339,-1,5238,340.4,340.325,326.533333333333,326.9,307.605,341.162902016424,339.591481480685,52.2494851522059,4.32328871390303,5.71527769561448,-1.39198898171145,307.605,340.325,2454
2013-03-21,24176205,1997498255,83.2,83.2,82.1,82.1,0,8972,81.92,81.355,84.475,83.706,87.337,81.8898607691803,81.7814362815611,49.4694771065724,-0.571960372133461,-0.95231337503326,0.380353002899799,81.355,87.337,2317
2013-03-21,58467748,5799884434,98.8,100.5,98.7,98.7,-0.1,13448,100.2,103.05,101.263333333333,102.3,90.009,100.02279067001,102.194862020305,37.4102666186126,-0.763074620593287,-0.031833731869729,-0.731240888723557,90.009,103.05,2330
2013-03-21,12323223,4100557759,342,342,332,332,-7,6224,338.2,340.625,326.433333333333,327.07,307.945,338.108601344282,338.868483244429,43.9836350975383,3.20894230681762,5.2140106178551,-2.00506831103749,307.945,340.625,2454
2013-03-22,42390237,3533074371,82.8,83.9,82.6,82.9,0.8,16936,82.36,81.34,84.3833333333333,83.59,87.325,82.2265738461202,81.8879661595077,54.3232360108794,-0.421573153989868,-0.846165330824582,0.424592176834713,81.34,87.325,2317
2013-03-22,44937030,4420118840,98.6,99.1,98,98,-0.7,12072,99.2,102.675,101.285,102.268,90.0995,99.34852711334,101.795351351705,35.6624929045202,-0.988674483093604,-0.223201882114504,-0.7654726009791,90.0995,102.675,2330
2013-03-22,6251858,2089101072,334,337,333,333,1,3910,336.5,340.925,326.391666666667,327.23,308.3225,336.405734229522,338.309580078293,45.3145908466652,2.37908181913735,4.64702485811155,-2.2679430389742,308.3225,340.925,2454
2013-03-25,24260912,2015535385,83.5,83.7,82.4,82.4,-0.5,9359,82.54,81.305,84.28,83.456,87.327,82.2843825640801,81.9367312871736,51.0243551349115,-0.338830197849006,-0.744698304229467,0.40586810638046,81.305,87.327,2317
