日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代碼
113/06/07,"56,520,045","10,049,044,147",177.5,180.0,176.5,177.5, 0.00,"43,159",2317
113/06/11,"85,329,821","15,338,544,528",179.0,181.5,177.5,180.5,+3.00,"38,710",2317
113/06/12,"126,289,783","23,393,538,750",184.0,188.0,182.5,187.5,+7.00,"73,072",2317
113/06/13,"148,512,198","28,450,483,573",191.0,195.0,188.0,192.0,+4.50,"101,895",2317
113/06/14,"125,211,164","24,479,589,921",192.5,198.5,191.0,198.0,+6.00,"75,673",2317
113/06/17,"90,945,035","17,988,971,061",197.5,200.0,195.0,200.0,+2.00,"59,920",2317
113/06/18,"93,439,720","18,599,886,778",200.5,201.0,197.0,198.5,-1.50,"65,645",2317
113/06/19,"176,031,571","36,081,706,615",200.0,208.0,199.5,203.0,+4.50,"107,041",2317
113/06/20,"180,562,091","38,133,209,814",205.0,217.5,203.5,217.5,+14.50,"104,422",2317
113/06/21,"174,076,905","37,127,696,834",211.0,217.5,211.0,212.0,-5.50,"97,392",2317
113/06/24,"109,548,050","22,653,801,367",209.5,210.0,205.0,206.0,-6.00,"82,746",2317
113/06/25,"121,206,515","25,045,108,196",203.0,212.0,201.0,211.0,+5.00,"70,769",2317
113/06/26,"110,939,569","23,499,859,690",211.5,215.5,210.0,210.0,-1.00,"63,281",2317
113/06/27,"85,520,365","18,119,649,387",208.0,214.5,207.5,212.5,+2.50,"45,667",2317
113/06/28,"76,615,716","16,423,256,571",214.0,216.0,212.5,214.0,+1.50,"42,916",2317
113/07/01,"74,505,315","16,078,735,485",215.0,217.0,214.5,216.0,+2.00,"43,491",2317
113/07/02,"147,154,898","30,602,743,184",212.0,213.0,203.0,204.5,X0.00,"128,721",2317
113/07/03,"77,916,135","15,974,048,414",205.0,208.0,203.0,203.0,-1.50,"67,881",2317
113/07/04,"112,375,851","23,865,052,729",208.0,215.0,207.5,214.5,+11.50,"73,515",2317
113/07/05,"44,877,435","9,608,898,174",214.0,215.5,212.5,214.5, 0.00,"44,283",2317
113/07/08,"116,266,597","25,999,507,999",217.0,226.5,216.5,226.5,+12.00,"81,632",2317
113/07/09,"140,667,212","31,972,261,941",226.5,234.5,220.5,225.5,-1.00,"110,588",2317
113/07/10,"72,345,924","16,175,517,511",225.5,226.0,220.5,223.5,-2.00,"59,377",2317
113/07/11,"66,478,277","15,013,634,144",226.5,229.0,224.0,225.5,+2.00,"44,786",2317
113/07/12,"145,211,899","31,540,686,831",219.0,221.0,214.0,216.0,-9.50,"148,848",2317
113/07/15,"53,360,233","11,564,701,198",216.5,219.0,214.5,216.5,+0.50,"40,212",2317
113/07/16,"84,353,418","18,071,422,075",216.5,217.5,212.5,213.0,-3.50,"69,899",2317
113/07/17,"76,957,900","16,434,832,998",213.0,217.5,211.5,212.0,-1.00,"54,093",2317
113/07/18,"136,319,692","27,955,662,427",206.0,209.0,203.0,204.0,-8.00,"126,875",2317
113/07/19,"92,595,590","18,698,864,046",200.5,204.0,200.0,204.0, 0.00,"74,087",2317
113/07/22,"162,437,272","31,663,789,302",203.0,204.0,191.0,192.5,-11.50,"138,256",2317
113/07/23,"86,260,900","17,207,851,304",198.5,201.5,197.0,201.5,+9.00,"60,728",2317
113/07/26,"105,379,193","20,201,830,838",190.0,194.0,188.5,192.0,-9.50,"97,070",2317
113/07/29,"59,992,669","11,633,485,095",196.0,197.0,192.0,193.0,+1.00,"40,921",2317
113/07/30,"56,000,732","10,814,583,971",190.5,197.0,189.0,196.0,+3.00,"40,850",2317
113/07/31,"78,102,814","15,516,769,258",194.5,202.0,194.0,198.0,+2.00,"44,998",2317
113/08/01,"71,018,214","14,415,202,229",205.0,205.5,200.5,202.5,+4.50,"41,705",2317
113/08/02,"180,006,074","34,309,570,053",192.5,194.5,185.5,186.5,-16.00,"180,226",2317
113/08/05,"235,984,497","39,931,952,149",169.5,172.5,168.0,168.0,-18.50,"180,467",2317
113/08/06,"312,722,064","52,502,900,780",173.5,175.0,160.0,167.5,-0.50,"169,366",2317
113/08/07,"172,980,115","29,614,701,438",169.0,175.0,168.0,170.5,+3.00,"106,835",2317
113/08/08,"175,362,627","28,738,573,698",163.5,166.5,161.0,163.5,-7.00,"124,274",2317
113/08/09,"138,560,409","23,576,514,546",170.0,172.0,168.0,168.5,+5.00,"77,924",2317
113/08/12,"116,336,000","20,471,799,850",172.0,179.0,171.5,176.0,+7.50,"73,217",2317
113/08/13,"117,511,594","21,246,757,812",180.0,183.0,178.0,181.0,+5.00,"74,230",2317
113/08/14,"99,284,664","18,403,713,063",186.0,187.0,183.5,185.5,+4.50,"58,594",2317
113/08/15,"85,168,990","15,597,220,467",185.5,186.0,181.0,181.0,-4.50,"69,384",2317
113/08/16,"73,463,052","13,598,937,157",186.0,187.0,183.0,184.0,+3.00,"49,246",2317
113/08/19,"58,296,324","10,895,078,643",185.0,188.0,184.5,187.0,+3.00,"41,243",2317
113/08/20,"85,359,040","16,073,514,773",189.5,191.0,186.0,186.5,-0.50,"60,468",2317
113/08/21,"73,330,894","13,472,333,866",185.0,186.0,181.5,183.5,-3.00,"59,842",2317
113/08/22,"74,784,164","13,506,319,190",184.0,185.0,179.0,179.5,-4.00,"64,888",2317
113/08/23,"50,027,162","8,912,666,314",176.0,181.0,175.0,180.0,+0.50,"41,328",2317
113/08/26,"42,914,990","7,848,485,950",182.0,185.0,180.5,182.0,+2.00,"32,596",2317
113/08/27,"28,579,088","5,157,009,913",181.5,182.0,179.0,180.5,-1.50,"32,152",2317
113/08/28,"60,573,731","11,100,743,471",181.0,186.0,179.5,185.5,+5.00,"40,669",2317
113/08/29,"58,392,678","10,641,492,477",180.5,185.5,180.0,184.5,-1.00,"41,615",2317
113/08/30,"55,298,840","10,204,591,983",185.0,186.0,183.5,184.5, 0.00,"25,936",2317
