日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,股票代碼
113/03/14,"48,964,017","38,196,293,503",779.00,785.00,770.00,784.00,+5.00,"35,137",2330
113/03/15,"80,580,846","61,451,780,435",771.00,777.00,753.00,753.00,-31.00,"95,014",2330
113/03/18,"46,006,400","34,967,084,535",754.00,765.00,754.00,764.00,X0.00,"40,073",2330
113/03/19,"32,078,900","24,399,917,859",758.00,765.00,755.00,762.00,-2.00,"31,208",2330
113/03/20,"48,788,389","37,117,091,830",764.00,769.00,752.00,758.00,-4.00,"46,702",2330
113/03/21,"47,759,094","37,203,673,872",773.00,784.00,772.00,784.00,+26.00,"48,467",2330
113/03/22,"32,629,749","25,521,571,701",788.00,789.00,775.00,785.00,+1.00,"33,054",2330
113/03/25,"21,223,414","16,612,693,369",783.00,788.00,779.00,780.00,-5.00,"24,794",2330
113/03/26,"43,103,294","33,847,261,033",788.00,792.00,776.00,782.00,+2.00,"35,046",2330
113/03/27,"19,732,209","15,418,346,943",785.00,785.00,779.00,779.00,-3.00,"21,006",2330
113/03/28,"28,393,398","21,889,883,699",774.00,776.00,768.00,769.00,-10.00,"39,848",2330
113/03/29,"20,212,820","15,682,908,766",769.00,781.00,768.00,779.00,+10.00,"18,110",2330
113/04/01,"22,348,250","17,301,753,062",783.00,783.00,769.00,770.00,-9.00,"28,192",2330
113/04/02,"42,219,075","33,230,356,267",784.00,790.00,783.00,790.00,+20.00,"41,138",2330
113/04/03,"32,909,892","25,719,094,412",783.00,785.00,778.00,780.00,-10.00,"36,003",2330
113/04/08,"40,567,580","31,925,988,285",789.00,792.00,783.00,783.00,+3.00,"29,304",2330
113/04/09,"61,642,573","49,946,542,596",795.00,820.00,792.00,819.00,+36.00,"89,138",2330
113/04/10,"31,109,466","25,358,780,514",815.00,819.00,810.00,815.00,-4.00,"39,131",2330
113/04/11,"27,772,972","22,655,121,636",811.00,820.00,811.00,820.00,+5.00,"34,739",2330
113/04/12,"32,473,155","26,663,806,808",823.00,826.00,817.00,818.00,-2.00,"38,091",2330
113/04/15,"41,251,141","33,300,372,097",804.00,812.00,803.00,806.00,-12.00,"60,451",2330
113/04/16,"54,120,813","42,833,069,476",802.00,803.00,785.00,788.00,-18.00,"127,956",2330
113/04/17,"36,616,351","29,324,186,091",798.00,808.00,793.00,804.00,+16.00,"43,890",2330
113/04/18,"45,765,617","36,684,269,610",796.00,810.00,792.00,804.00, 0.00,"46,571",2330
113/04/19,"143,868,560","109,032,970,933",769.00,770.00,746.00,750.00,-54.00,"356,590",2330
113/04/22,"52,354,944","39,093,628,250",740.00,757.00,740.00,742.00,-8.00,"103,120",2330
113/04/23,"32,067,682","24,247,217,869",761.00,761.00,752.00,754.00,+12.00,"34,807",2330
113/04/24,"41,652,749","32,458,429,294",770.00,785.00,769.00,783.00,+29.00,"58,442",2330
113/04/25,"30,492,037","23,412,746,667",770.00,774.00,765.00,766.00,-17.00,"64,220",2330
113/04/26,"34,721,905","27,272,338,208",788.00,789.00,782.00,782.00,+16.00,"42,824",2330
113/04/29,"30,704,200","24,322,394,064",790.00,795.00,787.00,795.00,+13.00,"35,585",2330
113/04/30,"41,627,249","33,118,845,170",797.00,802.00,790.00,790.00,-5.00,"40,926",2330
113/05/02,"47,536,363","36,983,047,647",789.00,789.00,772.00,772.00,-18.00,"85,051",2330
113/05/03,"31,026,748","24,240,817,990",788.00,788.00,773.00,780.00,+8.00,"35,153",2330
113/05/06,"33,733,509","26,644,713,164",791.00,793.00,786.00,786.00,+6.00,"32,394",2330
113/05/07,"35,917,824","28,623,349,239",797.00,800.00,792.00,800.00,+14.00,"38,340",2330
113/05/08,"22,585,765","18,032,263,877",794.00,802.00,792.00,802.00,+2.00,"23,525",2330
113/05/09,"22,863,681","18,267,303,103",798.00,802.00,796.00,796.00,-6.00,"23,671",2330
113/05/10,"27,560,431","22,107,595,449",803.00,807.00,798.00,802.00,+6.00,"41,029",2330
113/05/13,"38,146,948","31,315,059,679",823.00,825.00,818.00,819.00,+17.00,"49,327",2330
113/05/14,"29,663,617","24,309,306,615",816.00,825.00,811.00,825.00,+6.00,"34,685",2330
113/05/15,"41,805,778","35,112,739,055",838.00,844.00,837.00,839.00,+14.00,"57,892",2330
113/05/16,"46,276,890","39,179,826,883",852.00,856.00,837.00,841.00,+2.00,"60,617",2330
113/05/17,"27,855,719","23,373,478,247",848.00,848.00,834.00,835.00,-6.00,"38,718",2330
113/05/20,"30,148,330","25,069,342,221",834.00,838.00,822.00,835.00, 0.00,"43,094",2330
113/05/21,"20,548,110","17,214,095,315",830.00,841.00,830.00,841.00,+6.00,"20,770",2330
113/05/22,"40,904,357","35,027,824,713",845.00,865.00,843.00,864.00,+23.00,"63,360",2330
113/05/23,"40,771,207","35,638,205,695",875.00,877.00,867.00,875.00,+11.00,"50,325",2330
113/05/24,"37,353,467","32,358,555,678",858.00,872.00,858.00,867.00,-8.00,"50,611",2330
113/05/27,"32,691,921","28,496,096,179",872.00,878.00,866.00,869.00,+2.00,"42,682",2330
113/05/28,"32,712,504","28,375,286,215",867.00,873.00,865.00,865.00,-4.00,"37,323",2330
113/05/29,"51,073,346","43,924,367,680",861.00,868.00,856.00,857.00,-8.00,"67,680",2330
113/05/30,"42,535,118","35,840,589,611",841.00,848.00,838.00,838.00,-19.00,"110,390",2330
113/05/31,"90,177,283","74,602,358,441",838.00,846.00,821.00,821.00,-17.00,"102,070",2330
113/06/03,"29,629,706","25,053,781,742",839.00,853.00,837.00,846.00,+25.00,"40,694",2330
113/06/04,"31,031,104","26,107,162,214",844.00,851.00,837.00,839.00,-7.00,"52,392",2330
113/06/05,"37,531,781","31,774,150,536",841.00,857.00,835.00,854.00,+15.00,"41,869",2330
113/06/06,"67,300,344","60,138,015,941",893.00,899.00,885.00,894.00,+40.00,"112,332",2330
113/06/07,"44,489,018","39,240,336,617",885.00,888.00,879.00,879.00,-15.00,"85,990",2330
113/06/11,"57,435,637","51,091,497,348",892.00,895.00,883.00,883.00,+4.00,"47,589",2330
113/06/12,"51,874,967","46,791,431,521",888.00,914.00,888.00,909.00,+26.00,"74,526",2330
113/06/13,"59,656,092","54,980,784,829",923.00,935.00,911.00,919.00,X0.00,"98,777",2330
113/06/14,"43,289,572","39,603,293,460",916.00,922.00,905.00,922.00,+3.00,"62,552",2330
113/06/17,"28,796,529","26,475,733,502",913.00,925.00,913.00,921.00,-1.00,"44,582",2330
113/06/18,"40,870,419","38,583,515,635",944.00,950.00,940.00,943.00,+22.00,"55,791",2330
113/06/19,"76,684,138","74,395,758,883",953.00,984.00,953.00,981.00,+38.00,"117,235",2330
113/06/20,"52,144,900","50,859,632,569",971.00,981.00,971.00,981.00, 0.00,"107,978",2330
113/06/21,"97,995,843","94,882,220,706",961.00,978.00,960.00,970.00,-11.00,"131,503",2330
113/06/24,"74,081,708","70,162,177,693",958.00,960.00,940.00,940.00,-30.00,"227,255",2330
113/06/25,"62,079,701","57,978,440,842",925.00,945.00,923.00,945.00,+5.00,"103,844",2330
113/06/26,"48,821,135","46,668,874,056",951.00,960.00,951.00,960.00,+15.00,"56,563",2330
113/06/27,"41,276,086","39,447,006,518",951.00,961.00,949.00,960.00, 0.00,"41,133",2330
113/06/28,"42,998,776","41,476,565,443",956.00,971.00,955.00,966.00,+6.00,"42,853",2330
113/07/01,"20,936,005","20,320,957,284",968.00,977.00,965.00,968.00,+2.00,"38,293",2330
113/07/02,"27,992,930","26,971,516,491",967.00,971.00,959.00,960.00,-8.00,"38,928",2330
113/07/03,"25,022,531","24,386,705,873",976.00,979.00,967.00,979.00,+19.00,"36,096",2330
113/07/04,"47,251,502","47,347,126,144","1,000.00","1,010.00",997.00,"1,005.00",+26.00,"92,002",2330
113/07/05,"21,735,614","21,827,958,195","1,005.00","1,010.00","1,000.00","1,005.00", 0.00,"35,802",2330
113/07/08,"45,678,332","47,210,175,550","1,005.00","1,050.00","1,000.00","1,035.00",+30.00,"74,909",2330
113/07/09,"54,339,957","56,382,512,235","1,030.00","1,055.00","1,025.00","1,040.00",+5.00,"74,954",2330
113/07/10,"51,810,372","53,308,027,550","1,020.00","1,050.00","1,015.00","1,045.00",+5.00,"61,199",2330
113/07/11,"49,304,453","52,782,475,514","1,065.00","1,080.00","1,055.00","1,080.00",+35.00,"65,005",2330
113/07/12,"79,472,761","82,222,185,037","1,030.00","1,045.00","1,025.00","1,040.00",-40.00,"175,230",2330
113/07/15,"44,123,104","45,805,242,410","1,040.00","1,045.00","1,025.00","1,040.00", 0.00,"51,387",2330
113/07/16,"36,244,442","38,188,299,315","1,040.00","1,070.00","1,035.00","1,055.00",+15.00,"42,202",2330
113/07/17,"62,390,596","64,372,740,657","1,035.00","1,045.00","1,020.00","1,030.00",-25.00,"140,918",2330
113/07/18,"94,327,431","93,948,039,256",988.00,"1,005.00",986.00,"1,005.00",-25.00,"305,207",2330
113/07/19,"110,541,544","108,678,133,437",988.00,995.00,970.00,970.00,-35.00,"475,484",2330
113/07/22,"90,266,550","85,567,920,175",964.00,965.00,938.00,939.00,-31.00,"307,235",2330
113/07/23,"53,439,290","51,686,291,065",963.00,979.00,956.00,979.00,+40.00,"96,981",2330
113/07/26,"95,625,050","88,299,582,909",915.00,930.00,915.00,924.00,-55.00,"357,707",2330
113/07/29,"44,000,914","41,481,319,942",942.00,948.00,936.00,944.00,+20.00,"78,605",2330
113/07/30,"45,996,400","42,988,422,577",930.00,949.00,926.00,940.00,-4.00,"86,139",2330
113/07/31,"47,407,263","44,270,020,990",929.00,940.00,928.00,934.00,-6.00,"62,829",2330
113/08/01,"50,257,642","48,211,390,158",969.00,969.00,948.00,960.00,+26.00,"66,845",2330
113/08/02,"89,044,852","81,488,499,047",918.00,928.00,903.00,903.00,-57.00,"451,562",2330
113/08/05,"159,662,795","133,482,646,539",852.00,857.00,813.00,815.00,-88.00,"588,373",2330
113/08/06,"108,521,787","94,271,532,567",868.00,895.00,840.00,880.00,+65.00,"189,677",2330
113/08/07,"62,643,163","56,900,026,373",901.00,920.00,893.00,920.00,+40.00,"109,333",2330
113/08/08,"41,288,222","37,045,507,217",901.00,905.00,887.00,896.00,-24.00,"107,303",2330
113/08/09,"54,464,183","50,586,946,042",927.00,934.00,922.00,934.00,+38.00,"94,661",2330
113/08/12,"40,968,742","38,572,439,136",942.00,948.00,931.00,940.00,+6.00,"73,731",2330
113/08/13,"26,831,364","25,227,760,336",945.00,945.00,937.00,941.00,+1.00,"39,633",2330
113/08/14,"40,527,779","38,507,151,446",951.00,955.00,945.00,948.00,+7.00,"56,190",2330
113/08/15,"21,714,163","20,528,538,286",945.00,950.00,941.00,943.00,-5.00,"42,553",2330
113/08/16,"49,830,670","48,022,581,452",963.00,969.00,958.00,969.00,+26.00,"86,023",2330
113/08/19,"22,416,274","21,737,948,903",969.00,975.00,964.00,973.00,+4.00,"43,467",2330
113/08/20,"26,420,625","25,701,355,510",977.00,977.00,968.00,973.00, 0.00,"43,667",2330
113/08/21,"32,606,816","31,287,150,192",961.00,964.00,956.00,958.00,-15.00,"83,432",2330
113/08/22,"25,850,379","24,661,701,935",958.00,964.00,948.00,951.00,-7.00,"58,791",2330
113/08/23,"31,203,321","29,530,574,857",944.00,952.00,939.00,949.00,-2.00,"57,023",2330
113/08/26,"26,518,126","25,271,527,066",957.00,961.00,945.00,950.00,+1.00,"50,970",2330
113/08/27,"19,969,925","18,819,208,932",945.00,946.00,940.00,942.00,-8.00,"53,273",2330
113/08/28,"33,519,083","31,994,192,847",945.00,964.00,943.00,964.00,+22.00,"45,785",2330
113/08/29,"46,275,772","43,616,354,135",942.00,947.00,937.00,943.00,-21.00,"103,424",2330
113/08/30,"75,533,393","71,355,905,880",944.00,952.00,941.00,944.00,+1.00,"34,366",2330
113/09/02,"19,272,593","18,270,058,260",950.00,955.00,943.00,948.00,+4.00,"31,642",2330
113/09/03,"23,205,623","21,908,471,541",948.00,952.00,939.00,940.00,-8.00,"47,139",2330
113/09/04,"93,169,835","83,424,133,824",894.00,905.00,888.00,889.00,-51.00,"393,210",2330
113/09/05,"34,147,890","30,998,595,394",907.00,915.00,900.00,902.00,+13.00,"63,902",2330
113/09/06,"28,248,063","25,786,016,936",909.00,918.00,903.00,918.00,+16.00,"38,415",2330
113/09/09,"38,448,946","34,456,838,126",892.00,900.00,891.00,899.00,-19.00,"102,365",2330
113/09/10,"34,312,646","31,067,424,234",907.00,911.00,901.00,904.00,+5.00,"45,141",2330
113/09/11,"19,513,256","17,621,000,956",906.00,906.00,900.00,901.00,-3.00,"30,789",2330
113/09/12,"43,749,260","40,999,951,508",936.00,944.00,928.00,940.00,X0.00,"80,643",2330
113/09/13,"28,307,441","26,795,862,243",955.00,955.00,939.00,947.00,+7.00,"39,071",2330
113/09/16,"14,456,888","13,692,259,575",952.00,952.00,943.00,947.00, 0.00,"26,421",2330
113/09/18,"30,094,662","28,303,054,525",945.00,948.00,933.00,941.00,-6.00,"46,622",2330
113/09/19,"35,254,383","33,482,773,635",940.00,960.00,936.00,960.00,+19.00,"53,494",2330
113/09/20,"66,762,167","65,105,344,444",981.00,982.00,971.00,973.00,+13.00,"67,911",2330
113/09/23,"15,399,658","15,013,916,758",971.00,977.00,971.00,977.00,+4.00,"26,106",2330
113/09/24,"29,324,170","28,726,805,585",976.00,987.00,971.00,987.00,+10.00,"63,433",2330
113/09/25,"43,039,991","43,053,012,337","1,000.00","1,005.00",998.00,"1,005.00",+18.00,"82,005",2330
113/09/26,"43,341,810","43,835,515,361","1,010.00","1,015.00","1,005.00","1,015.00",+10.00,"78,670",2330
113/09/27,"37,665,070","38,074,974,690","1,020.00","1,025.00","1,000.00","1,000.00",-15.00,"52,093",2330
113/09/30,"66,874,949","65,017,701,862",978.00,990.00,957.00,957.00,-43.00,"166,934",2330
113/10/01,"27,877,267","27,093,881,327",967.00,977.00,967.00,972.00,+15.00,"37,862",2330
113/10/04,"43,765,757","42,845,984,122",986.00,986.00,967.00,977.00,+5.00,"43,935",2330
113/10/07,"43,850,831","43,905,376,215",993.00,"1,010.00",989.00,"1,005.00",+28.00,"79,851",2330
113/10/08,"35,344,059","35,503,172,585","1,000.00","1,010.00",997.00,"1,010.00",+5.00,"42,227",2330
113/10/09,"53,208,610","54,663,169,800","1,030.00","1,035.00","1,020.00","1,020.00",+10.00,"80,835",2330
113/10/11,"47,776,351","49,706,577,415","1,025.00","1,050.00","1,020.00","1,045.00",+25.00,"89,915",2330
113/10/14,"39,906,157","41,745,442,865","1,045.00","1,055.00","1,035.00","1,045.00", 0.00,"49,228",2330
113/10/15,"52,066,470","55,504,081,569","1,050.00","1,075.00","1,050.00","1,070.00",+25.00,"88,895",2330
113/10/16,"60,312,846","63,228,552,464","1,040.00","1,070.00","1,035.00","1,045.00",-25.00,"69,585",2330
113/10/17,"56,618,332","58,862,054,838","1,050.00","1,055.00","1,030.00","1,035.00",-10.00,"58,589",2330
113/10/18,"91,036,335","99,230,303,460","1,095.00","1,100.00","1,075.00","1,085.00",+50.00,"132,797",2330
113/10/21,"42,094,031","45,813,114,865","1,090.00","1,095.00","1,080.00","1,085.00", 0.00,"43,553",2330
113/10/22,"43,740,591","46,707,090,730","1,065.00","1,075.00","1,060.00","1,075.00",-10.00,"56,089",2330
113/10/23,"32,895,421","34,912,308,143","1,060.00","1,070.00","1,055.00","1,060.00",-15.00,"40,549",2330
113/10/24,"40,791,484","43,477,824,029","1,070.00","1,075.00","1,055.00","1,060.00", 0.00,"42,113",2330
113/10/25,"23,347,890","24,867,260,319","1,065.00","1,070.00","1,060.00","1,065.00",+5.00,"25,884",2330
113/10/28,"41,665,065","44,216,316,045","1,075.00","1,080.00","1,050.00","1,050.00",-15.00,"55,098",2330
113/10/29,"48,097,705","49,680,152,085","1,035.00","1,040.00","1,020.00","1,040.00",-10.00,"93,617",2330
113/10/30,"40,765,247","42,368,799,669","1,040.00","1,055.00","1,030.00","1,030.00",-10.00,"46,750",2330
113/11/01,"61,545,741","62,269,386,415",996.00,"1,030.00",996.00,"1,025.00",-5.00,"77,404",2330
113/11/04,"28,225,506","29,263,376,605","1,030.00","1,045.00","1,025.00","1,040.00",+15.00,"33,492",2330
113/11/05,"33,407,780","34,851,674,542","1,030.00","1,055.00","1,030.00","1,050.00",+10.00,"28,872",2330
113/11/06,"59,404,980","63,110,184,620","1,050.00","1,080.00","1,040.00","1,060.00",+10.00,"58,611",2330
113/11/07,"46,030,563","48,979,606,039","1,050.00","1,075.00","1,050.00","1,065.00",+5.00,"41,583",2330
113/11/08,"38,840,413","42,224,017,162","1,085.00","1,090.00","1,080.00","1,090.00",+25.00,"58,203",2330
113/11/11,"36,630,666","39,467,913,757","1,080.00","1,090.00","1,070.00","1,085.00",-5.00,"48,859",2330
113/11/12,"54,098,799","57,135,037,210","1,060.00","1,065.00","1,050.00","1,050.00",-35.00,"92,756",2330
113/11/13,"46,420,969","48,395,649,023","1,045.00","1,050.00","1,035.00","1,035.00",-15.00,"75,428",2330
113/11/14,"49,328,914","50,864,201,443","1,030.00","1,040.00","1,025.00","1,035.00", 0.00,"62,545",2330
113/11/15,"37,405,855","38,824,519,360","1,040.00","1,045.00","1,030.00","1,035.00", 0.00,"38,669",2330
113/11/18,"33,583,180","34,422,999,050","1,030.00","1,035.00","1,020.00","1,025.00",-10.00,"56,311",2330
113/11/19,"25,497,606","26,433,399,155","1,030.00","1,045.00","1,025.00","1,040.00",+15.00,"26,315",2330
113/11/20,"40,203,197","41,541,948,790","1,045.00","1,050.00","1,020.00","1,025.00",-15.00,"53,280",2330
113/11/21,"44,679,981","45,374,625,920","1,020.00","1,025.00","1,010.00","1,010.00",-15.00,"67,481",2330
113/11/22,"32,509,453","33,754,431,973","1,035.00","1,050.00","1,035.00","1,040.00",+30.00,"28,859",2330
113/11/25,"54,443,912","56,293,841,760","1,045.00","1,050.00","1,030.00","1,030.00",-10.00,"34,710",2330
113/11/26,"31,309,332","31,750,783,325","1,015.00","1,020.00","1,010.00","1,010.00",-20.00,"79,568",2330
113/11/27,"34,602,143","34,822,499,480","1,010.00","1,020.00","1,000.00","1,000.00",-10.00,"111,382",2330
113/11/28,"37,166,049","37,181,706,464","1,005.00","1,005.00",992.00,"1,005.00",+5.00,"82,426",2330
113/11/29,"43,621,329","43,637,043,385",995.00,"1,010.00",994.00,996.00,-9.00,"47,567",2330
113/12/02,"33,333,423","34,325,585,125","1,020.00","1,040.00","1,015.00","1,035.00",+39.00,"42,112",2330
113/12/03,"48,632,084","51,509,603,939","1,060.00","1,065.00","1,055.00","1,055.00",+20.00,"55,988",2330
113/12/04,"35,431,584","37,738,286,825","1,065.00","1,070.00","1,055.00","1,070.00",+15.00,"45,553",2330
113/12/05,"41,293,183","44,420,331,699","1,070.00","1,080.00","1,070.00","1,075.00",+5.00,"51,311",2330
113/12/06,"32,090,124","34,306,935,479","1,075.00","1,080.00","1,060.00","1,065.00",-10.00,"33,697",2330
113/12/09,"30,255,281","32,409,791,931","1,070.00","1,075.00","1,065.00","1,075.00",+10.00,"25,230",2330
113/12/10,"32,359,253","34,496,134,808","1,070.00","1,075.00","1,060.00","1,065.00",-10.00,"31,326",2330
113/12/11,"26,948,940","28,278,772,503","1,045.00","1,060.00","1,045.00","1,045.00",-20.00,"47,194",2330
113/12/12,"26,574,460","28,185,087,817","1,060.00","1,065.00","1,055.00","1,060.00",X0.00,"25,096",2330
113/12/13,"24,329,785","25,873,117,992","1,060.00","1,070.00","1,055.00","1,065.00",+5.00,"25,787",2330
113/12/16,"43,679,921","47,253,709,874","1,085.00","1,085.00","1,075.00","1,085.00",+20.00,"53,568",2330
113/12/17,"40,033,595","43,428,037,809","1,090.00","1,095.00","1,075.00","1,075.00",-10.00,"42,830",2330
113/12/18,"47,331,164","51,170,937,776","1,075.00","1,090.00","1,070.00","1,085.00",+10.00,"40,248",2330
113/12/19,"46,126,529","49,061,396,399","1,065.00","1,070.00","1,055.00","1,070.00",-15.00,"62,146",2330
113/12/20,"56,392,109","58,923,043,065","1,060.00","1,060.00","1,035.00","1,035.00",-35.00,"85,875",2330
113/12/23,"32,800,319","35,200,907,996","1,065.00","1,080.00","1,060.00","1,080.00",+45.00,"39,942",2330
113/12/24,"30,069,757","32,689,957,470","1,095.00","1,095.00","1,080.00","1,080.00", 0.00,"36,423",2330
113/12/25,"16,186,220","17,591,123,835","1,090.00","1,090.00","1,080.00","1,085.00",+5.00,"28,032",2330
113/12/26,"15,017,636","16,328,335,510","1,085.00","1,090.00","1,085.00","1,085.00", 0.00,"23,380",2330
113/12/27,"26,151,993","28,531,251,520","1,080.00","1,095.00","1,080.00","1,090.00",+5.00,"40,184",2330
113/12/30,"27,437,455","29,944,447,716","1,090.00","1,095.00","1,085.00","1,090.00", 0.00,"28,373",2330
113/12/31,"29,239,004","31,511,634,720","1,080.00","1,085.00","1,075.00","1,075.00",-15.00,"32,969",2330
114/01/02,"45,045,125","47,883,206,644","1,070.00","1,075.00","1,055.00","1,065.00",-10.00,"74,997",2330
114/01/03,"31,244,211","33,728,652,860","1,080.00","1,085.00","1,075.00","1,075.00",+10.00,"28,227",2330
114/01/06,"77,874,801","86,585,128,825","1,100.00","1,125.00","1,095.00","1,125.00",+50.00,"130,021",2330
114/01/07,"54,691,485","62,664,127,156","1,150.00","1,160.00","1,130.00","1,130.00",+5.00,"70,657",2330
114/01/08,"49,181,518","54,760,296,689","1,110.00","1,130.00","1,105.00","1,105.00",-25.00,"71,736",2330
114/01/09,"29,916,198","33,052,210,793","1,100.00","1,115.00","1,100.00","1,100.00",-5.00,"51,544",2330
114/01/10,"24,475,751","26,996,697,889","1,100.00","1,110.00","1,100.00","1,100.00", 0.00,"38,027",2330
114/01/13,"62,629,547","68,093,421,797","1,110.00","1,115.00","1,070.00","1,075.00",-25.00,"118,516",2330
114/01/14,"31,280,235","33,915,048,410","1,085.00","1,090.00","1,075.00","1,090.00",+15.00,"32,218",2330
114/01/15,"37,966,582","40,677,529,813","1,085.00","1,085.00","1,065.00","1,065.00",-25.00,"74,906",2330
114/01/16,"49,872,673","54,934,128,041","1,095.00","1,115.00","1,090.00","1,105.00",+40.00,"54,389",2330
114/01/17,"60,857,371","67,663,576,840","1,125.00","1,125.00","1,095.00","1,120.00",+15.00,"48,829",2330
114/01/20,"32,062,171","36,076,248,367","1,125.00","1,135.00","1,120.00","1,120.00", 0.00,"37,780",2330
114/01/21,"24,368,832","27,256,307,475","1,115.00","1,125.00","1,110.00","1,120.00", 0.00,"28,262",2330
114/01/22,"45,996,696","52,510,666,410","1,140.00","1,150.00","1,135.00","1,135.00",+15.00,"59,434",2330
113/01/02,"10,668,557","10,539,569,604","1,010.00","1,015.00",980.00,981.00,-34.00,"33,320",2454
113/01/03,"13,403,900","12,879,381,226",976.00,977.00,953.00,953.00,-28.00,"36,634",2454
113/01/04,"9,628,243","8,961,976,323",940.00,947.00,922.00,928.00,X0.00,"26,322",2454
113/01/05,"5,851,876","5,418,281,372",929.00,935.00,921.00,921.00,-7.00,"14,629",2454
113/01/08,"6,035,931","5,581,861,138",930.00,936.00,918.00,920.00,-1.00,"13,205",2454
113/01/09,"5,893,697","5,489,896,904",938.00,940.00,926.00,928.00,+8.00,"9,566",2454
113/01/10,"4,380,442","4,054,858,477",935.00,935.00,922.00,924.00,-4.00,"8,327",2454
113/01/11,"7,008,030","6,482,779,978",932.00,937.00,920.00,920.00,-4.00,"11,674",2454
113/01/12,"4,936,513","4,561,920,934",920.00,929.00,916.00,926.00,+6.00,"9,685",2454
113/01/15,"4,413,758","4,080,345,389",935.00,935.00,919.00,922.00,-4.00,"9,604",2454
113/01/16,"11,367,477","10,254,923,229",915.00,917.00,895.00,895.00,-27.00,"37,490",2454
113/01/17,"12,081,845","10,707,584,168",890.00,903.00,879.00,879.00,-16.00,"30,859",2454
113/01/18,"6,915,744","6,173,380,276",884.00,897.00,884.00,897.00,+18.00,"11,614",2454
113/01/19,"9,409,813","8,600,857,759",920.00,920.00,907.00,920.00,+23.00,"13,964",2454
113/01/22,"9,745,086","9,050,768,641",928.00,943.00,920.00,922.00,+2.00,"15,392",2454
113/01/23,"6,388,646","5,841,194,585",918.00,922.00,909.00,911.00,-11.00,"14,619",2454
113/01/24,"8,378,719","7,791,599,313",916.00,936.00,915.00,936.00,+25.00,"13,468",2454
113/01/25,"9,340,986","8,802,170,010",939.00,950.00,933.00,943.00,+7.00,"16,055",2454
113/01/26,"5,458,694","5,095,110,405",936.00,939.00,928.00,936.00,-7.00,"10,429",2454
113/01/29,"7,208,528","6,734,392,277",945.00,945.00,926.00,938.00,+2.00,"10,747",2454
113/01/30,"9,996,375","9,570,984,605",938.00,973.00,938.00,963.00,+25.00,"21,404",2454
113/01/31,"9,456,227","9,151,346,526",976.00,977.00,958.00,966.00,+3.00,"14,915",2454
113/02/01,"17,458,860","16,288,251,640",951.00,951.00,922.00,930.00,-36.00,"37,516",2454
113/02/02,"8,662,912","8,069,772,997",931.00,936.00,926.00,936.00,+6.00,"10,936",2454
113/02/05,"5,880,641","5,499,992,171",929.00,940.00,928.00,937.00,+1.00,"9,041",2454
113/02/15,"12,555,654","12,162,095,404",983.00,983.00,951.00,972.00,+35.00,"20,065",2454
113/02/16,"4,761,127","4,617,210,037",976.00,977.00,963.00,970.00,-2.00,"9,390",2454
113/02/19,"4,384,732","4,207,695,206",973.00,973.00,951.00,963.00,-7.00,"14,307",2454
113/02/20,"8,929,345","8,723,625,360",960.00,985.00,960.00,982.00,+19.00,"16,007",2454
113/02/21,"5,894,546","5,774,043,213",972.00,986.00,972.00,981.00,-1.00,"9,239",2454
113/02/22,"11,143,348","11,182,372,563",988.00,"1,020.00",988.00,"1,015.00",+34.00,"27,457",2454
113/02/23,"24,851,080","26,426,454,270","1,035.00","1,100.00","1,010.00","1,100.00",+85.00,"45,703",2454
113/02/26,"12,802,833","14,099,735,320","1,090.00","1,120.00","1,060.00","1,115.00",+15.00,"21,866",2454
113/02/27,"17,764,235","20,091,190,478","1,125.00","1,160.00","1,105.00","1,115.00", 0.00,"25,231",2454
113/02/29,"9,629,679","10,913,144,214","1,115.00","1,145.00","1,110.00","1,140.00",+25.00,"12,969",2454
113/03/01,"12,340,648","13,885,865,445","1,165.00","1,165.00","1,095.00","1,105.00",-35.00,"19,824",2454
113/03/04,"12,662,274","14,412,286,170","1,115.00","1,155.00","1,105.00","1,150.00",+45.00,"18,174",2454
113/03/05,"8,791,366","10,110,507,669","1,150.00","1,160.00","1,130.00","1,155.00",+5.00,"11,614",2454
113/03/06,"10,101,276","11,900,123,883","1,145.00","1,200.00","1,140.00","1,190.00",+35.00,"18,023",2454
113/03/07,"15,486,926","19,124,067,055","1,220.00","1,260.00","1,215.00","1,230.00",+40.00,"27,116",2454
113/03/08,"16,879,880","20,901,360,710","1,260.00","1,275.00","1,195.00","1,230.00", 0.00,"29,378",2454
113/03/11,"5,890,017","7,194,112,840","1,235.00","1,245.00","1,205.00","1,225.00",-5.00,"13,988",2454
113/03/12,"5,763,673","6,982,065,633","1,200.00","1,225.00","1,190.00","1,215.00",-10.00,"10,293",2454
113/03/13,"7,058,092","8,664,872,625","1,245.00","1,260.00","1,210.00","1,215.00", 0.00,"10,150",2454
113/03/14,"13,127,561","15,362,729,390","1,220.00","1,230.00","1,140.00","1,150.00",-65.00,"29,288",2454
113/03/15,"8,765,752","9,952,629,412","1,135.00","1,150.00","1,120.00","1,135.00",-15.00,"12,868",2454
113/03/18,"6,022,543","6,998,166,230","1,135.00","1,180.00","1,135.00","1,170.00",+35.00,"9,226",2454
113/03/19,"8,911,458","10,275,345,250","1,150.00","1,165.00","1,135.00","1,150.00",-20.00,"11,577",2454
