日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,SMA_5,SMA_20,SMA_60,SMA_50,SMA_200,EMA_5,EMA_20,RSI,MACD,MACD_signal,MACD_hist,Support_Level,Resistance_Level
2017-11-10,"15,061,296","3,629,826,936",240.0,242.0,239.5,240.5,-0.50,"4,465",241.5,239.675,225.86666666666667,228.0,207.76,241.18277870750865,238.1966624699796,59.948666729994414,3.902410485642349,4.544889541390198,-0.6424790557478488,207.76,239.675
2017-11-13,"12,087,858","2,904,559,294",240.0,241.5,239.5,239.5,-1.00,"4,288",241.5,239.75,226.29166666666663,228.46,208.0525,240.62185247167247,238.320789853791,57.32748318752402,3.5465074249012503,4.345213118092408,-0.7987056931911578,208.0525,239.75
2017-11-14,"17,229,176","4,132,433,432",241.0,241.0,239.0,240.0,+0.50,"4,130",240.7,239.975,226.75,228.93,208.35,240.4145683144484,238.48071462962045,58.30903789213059,3.2671359964014925,4.129597693754225,-0.8624616973527326,208.35,239.975
2017-11-15,"29,720,308","7,063,591,898",239.0,239.5,236.0,237.5,-2.50,"9,224",239.7,239.975,227.1833333333333,229.33,208.6325,239.4430455429656,238.38731323632328,51.88296397174224,2.8115927290994023,3.8659967008232607,-1.0544039717238585,208.6325,239.975
2017-11-16,"17,274,172","4,118,927,788",238.0,240.0,237.5,238.0,+0.50,"5,683",239.1,239.925,227.575,229.73,208.8975,238.96203036197704,238.35042626143533,52.998632078614,2.462530707947053,3.58530350224802,-1.1227727943009662,208.8975,239.925
2017-11-17,"18,741,825","4,528,440,917",240.5,242.5,240.5,241.5,+3.50,"5,647",239.3,240.125,228.00833333333333,230.22,209.1775,239.80802024131805,238.65038566510816,59.99171680435565,2.4401883186345685,3.3562804655253293,-0.9160921468907608,209.1775,240.125
2017-11-20,"19,811,271","4,744,311,377",241.0,241.5,238.0,238.5,-3.00,"5,935",239.1,240.1,228.36666666666667,230.65,209.4475,239.37201349421204,238.63606322081216,52.74740280002781,2.155558944459443,3.1161361613121525,-0.9605772168527094,209.4475,240.1
2017-11-21,"22,878,024","5,529,803,248",240.0,243.0,239.5,243.0,+4.50,"7,942",239.7,240.35,228.79166666666663,231.15,209.74,240.58134232947472,239.05167624740147,60.460266494248,2.266968307205872,2.946302590490897,-0.6793342832850251,209.74,240.35
2017-11-22,"27,251,431","6,631,376,152",244.5,244.5,242.0,242.0,-1.00,"7,655",240.6,240.55,229.225,231.65,210.0275,241.0542282196498,239.33246898574416,58.18731353148944,2.24864836853476,2.806771746099669,-0.5581233775649102,210.0275,240.55
2017-11-23,"9,562,763","2,320,934,646",242.0,243.5,241.5,242.5,+0.50,"4,253",241.5,240.875,229.66666666666663,232.12,210.3175,241.5361521464332,239.63413860614952,59.016934123476894,2.248555557683773,2.69512850841649,-0.4465729507327176,210.3175,240.875
2017-11-24,"11,404,453","2,777,319,771",242.0,244.5,241.5,244.0,+1.50,"3,910",242.0,241.125,230.1083333333333,232.64,210.62,242.35743476428885,240.0499349293734,61.48580413237446,2.3425163975278167,2.624606086238756,-0.282089688710939,210.62,241.125
2017-11-27,"32,247,327","7,696,717,391",240.0,240.0,237.0,237.0,-7.00,"14,743",241.7,240.825,230.45,233.01,210.885,240.57162317619256,239.75946493609973,47.19690515510733,1.8310325381745256,2.46589137662591,-0.6348588384513842,210.885,240.825
2017-11-28,"47,834,178","11,198,457,400",234.5,235.0,233.0,234.0,-3.00,"15,262",239.9,240.375,230.74166666666667,233.32,211.1275,238.3810821174617,239.210944465995,42.62500963787179,1.1701146137447438,2.206736024049677,-1.0366214103049334,211.1275,240.375
2017-11-29,"26,535,797","6,234,161,137",235.0,236.0,234.5,234.5,+0.50,"6,976",238.4,239.975,231.025,233.62,211.3625,237.0873880783078,238.7622830882812,43.60552136922733,0.6788528255021049,1.9011593843401629,-1.222306558838058,211.3625,239.975
2017-11-30,"112,262,770","25,539,072,296",226.5,230.5,226.0,226.0,-8.50,"21,352",235.1,239.225,231.15833333333333,233.71,211.555,233.39159205220523,237.546827556064,33.2138939354735,-0.3918377815313363,1.442559951165863,-1.8343977326972,211.555,239.225
2017-12-01,"38,356,265","8,830,392,980",228.5,233.5,227.5,231.0,+5.00,"17,632",232.5,238.825,231.39166666666668,233.9,211.765,232.5943947014701,236.92332016977213,41.973844298268986,-0.8273721570529062,0.9885735295221092,-1.815945686575016,211.765,238.825
2017-12-04,"22,939,032","5,347,622,547",232.5,234.5,231.0,234.0,+3.00,"7,763",231.9,238.55,231.675,234.16,211.99,233.06292980098013,236.644908725032,46.50745973567701,-0.9198578112985558,0.6068872613579763,-1.526745072656532,211.99,238.55
2017-12-05,"30,189,765","6,938,661,754",231.0,231.0,228.5,229.5,-4.50,"11,202",231.0,237.825,231.86666666666667,234.38,212.19,231.8752865339868,235.96444122740985,41.29551599740543,-1.3408097305930085,0.2173478629677793,-1.558157593560788,212.19,237.825
2017-12-06,"34,031,690","7,752,572,207",228.0,229.5,226.5,227.0,-2.50,"10,749",229.5,237.05,232.03333333333333,234.58,212.3775,230.25019102265787,235.1106849200375,38.70069142103121,-1.8547656818283544,-0.1970748459914473,-1.657690835836907,212.3775,237.05
2017-12-07,"41,619,903","9,349,711,831",226.5,226.5,222.5,226.5,-0.50,"13,336",229.6,236.325,232.15833333333333,234.83,212.56,229.0001273484386,234.29061968955773,38.18391787723324,-2.2761868324334955,-0.612897243279857,-1.6632895891536386,212.56,236.325
2017-12-08,"38,183,260","8,678,808,540",231.0,231.0,224.5,227.0,+0.50,"9,485",228.8,235.65,232.3083333333333,235.07,212.745,228.3334182322924,233.5962749572189,39.060246355530126,-2.540534607609203,-0.9984247161457264,-1.5421098914634768,212.745,235.65
2017-12-11,"20,649,609","4,706,571,094",228.5,229.0,227.0,227.5,+0.50,"6,384",227.5,235.05,232.4583333333333,235.34,212.94,228.05561215486165,233.01567734224565,39.97661582241897,-2.6788066866487554,-1.334501110246332,-1.3443055764024234,212.94,235.34
2017-12-12,"28,188,584","6,399,536,562",229.5,229.5,225.0,227.5, 0.00,"6,210",227.1,234.425,232.6083333333333,235.56,213.135,227.87040810324112,232.49037473822224,39.97661582241896,-2.756611800578355,-1.6189232483127367,-1.1376885522656184,213.135,235.56
2017-12-13,"19,619,331","4,454,578,768",227.5,228.0,226.5,227.0,-0.50,"6,108",227.1,233.9,232.7333333333333,235.77,213.325,227.5802720688274,231.9674819060106,39.2913854175978,-2.8260418835650114,-1.860346975363192,-0.9656949082018196,213.325,235.77
2017-12-14,"17,263,313","3,956,456,249",228.0,230.5,227.5,230.5,+3.50,"6,689",227.9,233.525,232.88333333333333,235.97,213.5475,228.55351471255165,231.8277217244858,46.23822005130865,-2.5690307875167946,-2.0020837377939125,-0.5669470497228821,213.5475,235.97
2017-12-15,"42,725,779","9,781,791,170",228.5,230.0,226.5,230.0,-0.50,"7,602",228.5,232.95,233.025,236.12,213.7675,229.03567647503445,231.65365298882048,45.43830222002835,-2.378278153433257,-2.0773226209217817,-0.3009555325114754,213.7675,236.12
2017-12-18,"15,702,664","3,565,805,928",227.0,228.0,226.5,227.0,-3.00,"5,961",228.4,232.375,233.125,236.17,213.9825,228.35711765002296,231.2104479422661,40.869716013727015,-2.4410414383714,-2.1500663844117054,-0.2909750539596945,213.9825,236.17
2017-12-19,"25,899,129","5,844,605,314",226.5,228.5,224.0,225.0,-2.00,"7,609",227.9,231.475,233.2333333333333,236.18,214.19,227.23807843334868,230.61897670966937,38.11812027174907,-2.621940975706167,-2.2444413026705976,-0.3774996730355693,214.19,236.18
2017-12-20,"34,514,333","7,748,610,375",225.0,225.5,223.5,224.5,-0.50,"10,336",227.4,230.6,233.3583333333333,236.01,214.385,226.3253856222325,230.0362170230342,37.43948325220872,-2.7736777530971324,-2.3502885927559047,-0.4233891603412276,214.385,236.01
2017-12-21,"20,826,164","4,696,105,505",226.5,227.0,224.5,225.0,+0.50,"5,893",226.3,229.725,233.54166666666663,235.76,214.575,225.88359041482167,229.5565773065548,38.61639299672241,-2.8210649404764467,-2.4444438623000133,-0.3766210781764334,214.575,235.76
2017-12-22,"19,106,483","4,315,809,802",225.0,227.5,224.0,227.5,+2.50,"6,146",225.8,228.9,233.75,235.56,214.79,226.4223936098811,229.3607128011685,44.262451599762,-2.6266125665944173,-2.480877603158894,-0.1457349634355234,214.79,235.56
2017-12-25,"4,579,675","1,045,118,165",228.0,229.5,226.5,228.5,+1.00,"2,288",226.1,228.475,233.99166666666667,235.37,215.015,227.11492907325407,229.27874015343824,46.38672301339689,-2.3645588541045583,-2.457613853348027,0.0930549992434688,215.015,235.37
2017-12-26,"13,755,843","3,118,538,018",229.0,229.0,225.0,226.0,-2.50,"3,550",226.3,228.075,234.15,235.18,215.2125,226.74328604883607,228.9664791864441,42.06995345013158,-2.331729776181106,-2.432437037914643,0.1007072617335369,215.2125,235.18
2017-12-27,"12,515,245","2,820,168,625",225.0,226.0,225.0,225.0,-1.00,"5,717",226.4,227.6,234.29166666666663,234.93,215.4075,226.16219069922408,228.5887192639256,40.448472060498815,-2.3592086493045485,-2.4177913601926244,0.0585827108880758,215.4075,234.93
2017-12-28,"24,370,371","5,521,736,966",226.5,228.0,225.0,226.0,+1.00,"7,413",226.6,227.6,234.38333333333333,234.67,215.605,226.10812713281604,228.3421745721232,42.82178608437778,-2.274080032528815,-2.3890490946598626,0.1149690621310477,215.605,234.67
2017-12-29,"25,610,443","5,861,624,377",227.5,230.0,226.5,229.5,+3.50,"8,325",227.0,227.525,234.5,234.51,215.8025,227.23875142187737,228.4524436604924,50.28913350702732,-1.9022661016358315,-2.2916924960550564,0.3894263944192251,215.8025,234.51
2018-01-02,"18,055,269","4,188,555,408",231.5,232.5,231.0,232.5,+3.00,"9,954",227.8,227.45,234.63333333333333,234.38,216.0075,228.99250094791827,228.837925216636,55.637154033416905,-1.3499644053335371,-2.1033468779107527,0.7533824725772154,216.0075,234.38
2018-01-03,"31,706,091","7,504,382,512",236.0,238.0,235.5,237.0,+4.50,"13,633",230.0,227.825,234.84166666666667,234.36,216.235,231.6616672986122,229.61526567219445,62.20537449070063,-0.5428908323862913,-1.7912556688058603,1.2483648364195692,216.235,234.36
2018-01-04,"29,179,613","6,963,192,636",240.0,240.0,236.5,239.5,+2.50,"10,953",232.9,228.45,234.95,234.39,216.4575,234.2744448657415,230.55666894150923,65.28083250937587,0.2950487570439577,-1.373994783635897,1.6690435406798547,216.4575,234.39
2018-01-05,"23,721,255","5,681,934,695",240.0,240.0,238.0,240.0,+0.50,"8,659",235.7,229.125,234.99166666666667,234.47,216.69,236.1829632438277,231.45603380422264,65.87885569640153,0.9880777942666156,-0.9015802680553944,1.88965806232201,216.69,234.47
2018-01-08,"21,846,692","5,281,823,362",242.0,242.5,240.5,242.0,+2.00,"10,251",238.2,229.875,235.06666666666663,234.53,216.9325,238.12197549588512,232.4602210609633,68.23570904602775,1.6793332759166617,-0.3853975592609833,2.064730835177645,216.9325,234.53
2018-01-09,"19,043,123","4,588,314,012",242.0,242.0,239.5,242.0, 0.00,"7,124",240.1,230.6,235.13333333333333,234.51,217.18,239.4146503305901,233.36877143610968,68.23570904602775,2.201777504834297,0.1320374535580727,2.069740051276224,217.18,234.51
2018-01-10,"25,716,220","6,118,683,273",241.5,242.0,236.0,236.5,-5.50,"10,534",240.0,231.05,235.15,234.38,217.3975,238.44310022039343,233.6669836802897,55.91723944391524,2.147261986124932,0.5350823600714445,1.6121796260534869,217.3975,234.38
2018-01-11,"32,070,338","7,500,674,455",235.0,236.0,232.5,235.0,-1.50,"9,199",239.1,231.45,235.1083333333333,234.23,217.6,237.29540014692896,233.79393761550023,53.10166854408722,1.960422055670307,0.8201502991912171,1.1402717564790898,217.6,234.23
2018-01-12,"23,141,291","5,463,302,207",234.5,238.0,233.5,237.0,+2.00,"7,905",238.5,231.775,235.075,234.15,217.8275,237.196933431286,234.09927689021447,56.263835930821145,1.951240662229594,1.0463683717988923,0.9048722904307016,217.8275,234.15
2018-01-15,"28,576,533","6,832,851,887",240.0,240.0,238.0,240.0,+3.00,"9,756",238.1,232.275,235.11666666666667,234.17,218.07,238.1312889541907,234.66125051971787,60.55963831677061,2.1611271413032966,1.2693201256997733,0.8918070156035234,218.07,234.17
2018-01-16,"23,407,632","5,609,009,540",240.0,240.5,238.0,240.5,+0.50,"8,156",237.8,232.95,235.14166666666668,234.19,218.3275,238.92085930279384,235.2173218987924,61.24290192446576,2.34082592529208,1.4836212856182347,0.8572046396738453,218.3275,234.19
2018-01-17,"38,118,119","9,207,582,787",240.5,243.0,239.0,242.0,+1.50,"12,593",238.9,233.8,235.2083333333333,234.15,218.5725,239.94723953519588,235.8632912417645,63.2971510702104,2.57459761160473,1.701816550815534,0.8727810607891962,218.5725,234.15
2018-01-18,"50,119,952","12,406,562,364",245.0,250.0,245.0,248.5,+6.50,"19,482",241.6,235.0,235.38333333333333,234.27,218.8575,242.7981596901306,237.0667873139774,70.57529663590375,3.246930441489525,2.010839328950333,1.2360911125391922,218.8575,235.0
2018-01-19,"55,061,292","13,975,174,348",253.5,255.5,251.5,255.5,+7.00,"18,801",245.3,236.525,235.7083333333333,234.56,219.18,247.03210646008708,238.82233137931289,76.0770906102571,4.295089434231301,2.467689350006526,1.8274000842247744,219.18,236.525
2018-01-22,"45,907,509","11,934,882,643",257.5,262.0,257.0,261.5,+6.00,"13,558",249.6,238.225,236.0833333333333,234.98,219.5375,251.8547376400581,240.98210934318783,79.59833201129118,5.545982212769928,3.083347922559206,2.4626342902107217,219.5375,238.225
2018-01-23,"34,606,444","9,155,080,569",262.5,266.0,262.5,266.0,+4.50,"13,993",254.7,240.1,236.46666666666667,235.51,219.9125,256.56982509337206,243.3647655962176,81.76607555651634,6.821798694955277,3.831038077038421,2.990760617916856,219.9125,240.1
2018-01-24,"42,600,813","11,022,372,004",263.0,263.0,256.5,258.0,-8.00,"17,287",257.9,241.7,236.71666666666667,235.87,220.2475,257.04655006224806,244.75859744419688,67.94446991903038,7.105452079061081,4.485920877442953,2.619531201618128,220.2475,241.7
2018-01-25,"46,214,756","11,981,089,514",258.0,264.0,256.5,258.0, 0.00,"15,826",259.8,243.35,236.975,236.28,220.58,257.3643667081654,246.0196834018924,67.9444699190304,7.246713823542166,5.038079466662795,2.2086343568793705,220.58,243.35
2018-01-26,"43,514,523","11,101,977,348",256.5,257.5,253.5,255.0,-3.00,"12,821",259.7,244.8,237.2083333333333,236.62,220.91,256.57624447211026,246.8749516493312,63.29148880591376,7.035489106841652,5.437561394698568,1.5979277121430844,220.91,244.8
2018-01-29,"31,306,234","8,067,780,117",259.0,261.5,255.0,258.5,+3.50,"12,211",259.1,246.25,237.53333333333333,236.96,221.265,257.2174963147402,247.98209911129965,66.19972010770672,7.069025421599463,5.763854200078747,1.305171221520716,221.265,246.25
2018-01-30,"37,410,591","9,523,980,994",256.0,257.5,252.5,253.0,-5.50,"12,987",256.5,247.275,237.75833333333333,237.25,221.59,255.8116642098268,248.45999443403304,58.37341772215449,6.575995179069565,5.926282395876911,0.6497127831926539,221.59,247.275
2018-01-31,"45,807,808","11,670,582,000",253.0,257.5,252.0,255.0,+2.00,"13,553",255.9,248.175,237.94166666666663,237.49,221.9325,255.5411094732179,249.08285210698227,60.21532707064144,6.27432196706954,5.9958903101154375,0.2784316569541021,221.9325,248.175
2018-02-01,"30,900,457","8,022,694,430",257.5,261.0,257.0,259.5,+4.50,"13,598",256.2,249.175,238.225,237.84,222.295,256.86073964881194,250.0749614301268,64.06787139530036,6.325440425279595,6.06180033314827,0.2636400921313253,222.295,249.175
2018-02-02,"25,707,560","6,633,344,540",259.0,260.0,255.0,259.5, 0.00,"11,404",257.1,250.15,238.53333333333333,238.18,222.6425,257.740493099208,250.9725841510672,64.06787139530036,6.293405708204517,6.10812140815952,0.185284300044997,222.6425,250.15
2018-02-05,"46,554,379","11,742,299,859",251.0,254.5,250.5,253.0,-6.50,"16,909",256.0,250.7,238.74166666666667,238.36,222.9575,256.16032873280534,251.16567137477503,55.12546633440951,5.678069041456752,6.022110934818967,-0.3440418933622151,222.9575,250.7
2018-02-06,"104,448,048","24,944,565,955",242.5,243.5,234.0,239.0,-14.00,"35,455",253.2,250.55,238.7333333333333,238.4,223.1925,250.4402191552036,250.00703600574883,41.64332668609638,4.014451208062269,5.620578989467628,-1.606127781405359,223.1925,250.55
2018-02-07,"82,299,178","19,903,032,966",245.0,245.5,239.5,240.0,+1.00,"22,962",250.2,250.725,238.7333333333333,238.52,223.4375,246.96014610346907,249.0539849575823,42.720930565711946,2.745070270695521,5.045477245713207,-2.300406975017686,223.4375,250.725
2018-02-08,"31,192,550","7,468,970,072",239.5,242.0,238.0,238.5,-1.50,"10,274",246.0,250.9,238.75,238.6,223.665,244.1400974023128,248.04884353305064,41.48350245139663,1.599600074517042,4.3563018114739736,-2.7567017369569315,223.665,250.9
2018-02-09,"65,939,265","15,227,192,540",230.0,233.0,228.5,232.5,-6.00,"19,749",240.6,250.675,238.65833333333333,238.73,223.855,240.2600649348752,246.5680012918077,36.88163490935532,0.2052903758072091,3.526099524340621,-3.320809148533412,223.855,250.675
2018-02-12,"42,917,236","10,113,012,768",235.5,237.5,235.0,236.5,+4.00,"10,851",237.3,250.5,238.575,238.84,224.055,239.00670995658345,245.60914402592127,41.537789131064855,-0.5703686801712138,2.7068058834382542,-3.277174563609468,224.055,250.5
2018-02-21,"76,396,174","18,582,475,956",244.5,244.5,242.0,242.5,+6.00,"21,512",238.0,250.6,238.64166666666668,239.01,224.2775,240.17113997105565,245.3130350710716,47.76263778186935,-0.6929463601523764,2.026855434720128,-2.7198017948725046,224.2775,250.6
2018-02-22,"45,492,993","10,977,665,819",244.0,244.0,239.0,239.5,-3.00,"10,071",237.9,250.475,238.5833333333333,239.21,224.485,239.94742664737043,244.7594126833505,45.17272838425594,-1.0204024187113705,1.417403864033829,-2.437806282745199,224.485,250.475
2018-02-23,"26,985,776","6,578,657,620",241.0,245.0,241.0,245.0,+5.50,"10,178",239.2,250.3,238.63333333333333,239.57,224.7225,241.63161776491364,244.78232576112663,50.47483346589258,-0.8265813544061871,0.9686068203458256,-1.7951881747520126,224.7225,250.3
2018-02-26,"36,165,810","8,910,352,170",247.0,247.5,245.0,246.5,+1.50,"12,565",242.0,249.85,238.7,239.97,224.9425,243.25441184327576,244.9459137838765,51.84264902163848,-0.5456493940029077,0.6657555774760789,-1.2114049714789863,224.9425,249.85
2018-02-27,"44,699,119","11,061,945,363",250.5,250.5,246.0,246.0,-0.50,"10,908",243.9,249.075,238.7333333333333,240.35,225.155,244.1696078955172,245.04630294731683,51.33370776650809,-0.3592138193963308,0.460761698101597,-0.8199755174979279,225.155,249.075
2018-03-01,"43,847,984","10,669,194,561",244.0,245.0,242.0,243.0,-3.00,"11,589",244.0,247.925,238.8333333333333,240.66,225.3425,243.7797385970115,244.85141695233423,48.27168202338982,-0.4483686960504656,0.2789356192711845,-0.7273043153216501,225.3425,247.925
2018-03-02,"35,289,170","8,453,712,014",240.0,241.0,238.5,240.0,-3.00,"10,440",244.1,247.025,238.9333333333333,240.91,225.505,242.519825731341,244.38937724258813,45.357983425220525,-0.7524260074341669,0.0726632939301142,-0.8250893013642812,225.505,247.025
2018-03-05,"27,337,846","6,607,367,732",242.5,243.0,240.5,241.5,+1.50,"9,321",243.4,246.2,239.05,241.2,225.6825,242.179883820894,244.11419845757976,47.07804026566335,-0.8624147726785623,-0.114352319391621,-0.7480624532869412,225.6825,246.2
