日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/11/28,"4,374,911","5,459,813,114","1,260.00","1,265.00","1,240.00","1,255.00",+5.00,"6,775"
113/11/29,"4,324,490","5,418,649,990","1,235.00","1,270.00","1,225.00","1,255.00", 0.00,"5,275"
113/12/02,"4,705,833","6,127,313,545","1,275.00","1,315.00","1,270.00","1,310.00",+55.00,"10,639"
113/12/03,"6,211,010","8,141,226,882","1,325.00","1,330.00","1,295.00","1,315.00",+5.00,"7,911"
113/12/04,"4,844,752","6,364,952,020","1,315.00","1,325.00","1,305.00","1,320.00",+5.00,"6,345"
113/12/05,"5,559,581","7,367,160,465","1,325.00","1,335.00","1,310.00","1,325.00",+5.00,"10,447"
113/12/06,"4,364,288","5,747,214,795","1,325.00","1,340.00","1,300.00","1,305.00",-20.00,"11,555"
113/12/09,"4,592,126","6,045,281,525","1,320.00","1,325.00","1,300.00","1,325.00",+20.00,"5,865"
113/12/10,"8,230,114","11,015,978,916","1,315.00","1,360.00","1,310.00","1,350.00",+25.00,"12,323"
113/12/11,"7,633,823","10,191,659,690","1,320.00","1,355.00","1,305.00","1,350.00", 0.00,"9,374"
113/12/12,"8,447,774","11,722,376,470","1,370.00","1,400.00","1,370.00","1,380.00",+30.00,"20,476"
113/12/13,"6,733,740","9,392,980,005","1,385.00","1,410.00","1,365.00","1,410.00",+30.00,"14,746"
113/12/16,"7,521,031","10,583,170,115","1,435.00","1,440.00","1,385.00","1,385.00",-25.00,"18,946"
113/12/17,"9,362,088","13,364,542,220","1,390.00","1,445.00","1,390.00","1,425.00",+40.00,"18,088"
113/12/18,"6,198,374","8,798,918,600","1,430.00","1,430.00","1,405.00","1,420.00",-5.00,"9,091"
113/12/19,"6,719,997","9,496,773,480","1,400.00","1,430.00","1,395.00","1,420.00", 0.00,"10,465"
113/12/20,"5,731,484","8,030,795,624","1,420.00","1,425.00","1,390.00","1,390.00",-30.00,"8,536"
113/12/23,"4,417,200","6,243,376,090","1,405.00","1,425.00","1,400.00","1,410.00",+20.00,"6,948"
113/12/24,"3,278,608","4,639,180,175","1,430.00","1,430.00","1,405.00","1,405.00",-5.00,"5,156"
113/12/25,"2,449,652","3,471,607,295","1,420.00","1,430.00","1,410.00","1,410.00",+5.00,"4,418"
113/12/26,"2,448,448","3,484,465,905","1,420.00","1,430.00","1,415.00","1,420.00",+10.00,"4,902"
113/12/27,"2,406,377","3,443,523,815","1,420.00","1,440.00","1,420.00","1,430.00",+10.00,"5,985"
113/12/30,"2,890,276","4,117,831,075","1,430.00","1,435.00","1,420.00","1,420.00",-10.00,"5,362"
113/12/31,"3,371,199","4,756,664,780","1,410.00","1,425.00","1,400.00","1,415.00",-5.00,"7,737"
114/01/02,"7,374,055","10,011,026,495","1,395.00","1,400.00","1,335.00","1,350.00",X0.00,"26,063"
114/01/03,"6,413,343","8,684,840,857","1,365.00","1,370.00","1,335.00","1,365.00",+15.00,"10,151"
114/01/06,"7,760,498","10,980,061,110","1,390.00","1,425.00","1,390.00","1,425.00",+60.00,"14,520"
114/01/07,"13,043,149","19,029,056,158","1,445.00","1,500.00","1,415.00","1,490.00",+65.00,"27,139"
114/01/08,"11,341,648","16,799,397,207","1,500.00","1,500.00","1,460.00","1,470.00",-20.00,"19,669"
114/01/09,"7,283,127","10,619,853,655","1,470.00","1,480.00","1,440.00","1,440.00",-30.00,"14,596"
114/01/10,"7,456,378","10,977,244,936","1,460.00","1,495.00","1,445.00","1,465.00",+25.00,"12,703"
114/01/13,"10,467,556","14,785,600,300","1,435.00","1,460.00","1,385.00","1,390.00",-75.00,"30,506"
114/01/14,"5,672,581","7,934,393,535","1,385.00","1,415.00","1,380.00","1,400.00",+10.00,"10,105"
114/01/15,"6,608,704","9,392,555,305","1,390.00","1,445.00","1,390.00","1,420.00",+20.00,"9,999"
114/01/16,"7,526,306","10,959,335,965","1,450.00","1,470.00","1,430.00","1,460.00",+40.00,"12,053"
114/01/17,"5,593,733","8,016,913,060","1,450.00","1,455.00","1,420.00","1,430.00",-30.00,"8,875"
114/01/20,"4,054,089","5,848,835,115","1,425.00","1,455.00","1,425.00","1,445.00",+15.00,"6,526"
114/01/21,"4,729,517","6,929,917,275","1,440.00","1,475.00","1,435.00","1,465.00",+20.00,"9,236"
114/01/22,"6,939,769","10,271,774,681","1,480.00","1,495.00","1,465.00","1,465.00", 0.00,"11,316"
