date,keyword,title,link,publish_date
10/14/2023~11/13/2023,聯發科 財經,天璣9300全大核聯發科創舉- 日報,https://www.ctee.com.tw/news/20231107700072-439901,2023年11月7日
10/14/2023~11/13/2023,聯發科 財經,【產業月評比】IC設計排名洗牌！聯發科不動如山 聯詠超車瑞昱成二哥,https://tw.stock.yahoo.com/news/%E7%94%A2%E6%A5%AD%E6%9C%88%E8%A9%95%E6%AF%94-ic%E8%A8%AD%E8%A8%88-%E6%8E%92%E5%90%8D%E6%B4%97%E7%89%8C-%E8%81%AF%E7%99%BC%E7%A7%91%E4%B8%8D%E5%8B%95%E5%A6%82%E5%B1%B1-%E8%81%AF%E8%A9%A0%E8%B6%85%E8%BB%8A%E7%91%9E%E6%98%B1%E6%88%90%E4%BA%8C%E5%93%A5-160900105.html,2023年11月12日
10/14/2023~11/13/2023,聯發科 財經,【聯發最強小金雞1】曾是蔡明介最頭痛的轉投資　達發6年轉骨大爆發揭密,https://www.mirrormedia.mg/story/20231016fin003,2023年10月16日
10/14/2023~11/13/2023,聯發科 財經,達發蜜月行情失靈！上市首日一度重挫逾8% 分析師：大家過度期待,https://tw.stock.yahoo.com/news/%E9%81%94%E7%99%BC%E8%9C%9C%E6%9C%88%E8%A1%8C%E6%83%85%E5%A4%B1%E9%9D%88%EF%BC%81%E4%B8%8A%E5%B8%82%E9%A6%96%E6%97%A5%E4%B8%80%E5%BA%A6%E9%87%8D%E6%8C%AB%E9%80%BE8-%E5%88%86%E6%9E%90%E5%B8%AB%EF%BC%9A%E5%A4%A7%E5%AE%B6%E9%81%8E%E5%BA%A6%E6%9C%9F%E5%BE%85-015737093.html,2023年10月18日
10/14/2023~11/13/2023,聯發科 財經,【聯發最強小金雞】蔡明介親手大改造　達發醜小鴨變股王,https://www.mirrormedia.mg/story/20231016fin002,2023年10月16日
10/14/2023~11/13/2023,聯發科 財經,安國斥資7.15億元 入股星河半導體,https://ec.ltn.com.tw/article/breakingnews/4468905,2023年10月25日
10/14/2023~11/13/2023,聯發科 財經,越南想蓋首座晶片廠找上台企美業者卻揭1致命隱憂- 財經,https://www.chinatimes.com/realtimenews/20231031004091-260410,2023年10月31日
10/14/2023~11/13/2023,聯發科 財經,不只緯創靠緯穎賺飽飽！這3家AI廠養超狂小金雞一飛沖天- 財經,https://www.chinatimes.com/realtimenews/20231022000012-260410,2023年10月22日
10/14/2023~11/13/2023,聯發科 財經,王道銀行推全新彩虹認同卡2.0 祭限時回饋,https://tw.news.yahoo.com/%E7%8E%8B%E9%81%93%E9%8A%80%E8%A1%8C%E6%8E%A8%E5%85%A8%E6%96%B0%E5%BD%A9%E8%99%B9%E8%AA%8D%E5%90%8C%E5%8D%A12-0-%E7%A5%AD%E9%99%90%E6%99%82%E5%9B%9E%E9%A5%8B-104558749.html,2023年10月27日
10/14/2023~11/13/2023,聯發科 財經,原地掉頭！水中逃生？比亞迪黑科技 郭正亮：以前沒見過,https://tw.stock.yahoo.com/news/%E5%8E%9F%E5%9C%B0%E6%8E%89%E9%A0%AD-%E6%B0%B4%E4%B8%AD%E9%80%83%E7%94%9F-%E6%AF%94%E4%BA%9E%E8%BF%AA%E9%BB%91%E7%A7%91%E6%8A%80-%E9%83%AD%E6%AD%A3%E4%BA%AE-%E4%BB%A5%E5%89%8D%E6%B2%92%E8%A6%8B%E9%81%8E-160109547.html,2023年11月13日
10/14/2023~11/13/2023,聯發科 財經,竹科五星級幼兒園名額搶手將於X基地籌設第二座| 財經,https://video.udn.com/news/1277181,2023年11月7日
10/14/2023~11/13/2023,聯發科 財經,焦點股》聯傑：IC設計吸睛 開盤強勢漲停,https://ec.ltn.com.tw/article/breakingnews/4473913,2023年10月30日
10/14/2023~11/13/2023,聯發科 財經,蘋果承諾iPhone 16用台積電N3E 5大廠估將跟進,https://ec.ltn.com.tw/article/breakingnews/4458006,2023年10月14日
10/14/2023~11/13/2023,聯發科 財經,黃仁勳在台灣人氣爆高！網揭他1特質：民眾就吃這套- 財經,https://www.chinatimes.com/realtimenews/20231020001979-260410,2023年10月20日
11/14/2023~12/14/2023,聯發科 財經,【財經希引力】最便宜的IP矽智財!? 市場高度關注神盾旗下的安國，兼論聯發科的揚智…,https://www.hwa-guan.com.tw/Wealth/ViewPoint/ArticleContent?C_id=10373,2023年11月22日
11/14/2023~12/14/2023,聯發科 財經,聯發科技董事長蔡明介 獲IEEE Robert N. Noyce Medal最高榮譽,https://tw.stock.yahoo.com/news/%E8%81%AF%E7%99%BC%E7%A7%91%E6%8A%80%E8%91%A3%E4%BA%8B%E9%95%B7%E8%94%A1%E6%98%8E%E4%BB%8B-%E7%8D%B2ieee-robert-n-noyce-005712775.html,2023年11月28日
11/14/2023~12/14/2023,聯發科 財經,一起買50元廣達、100元聯發科，他早賣掉，妹妹緊抱身價已逾千萬：不是自己技巧不好，是心控制不住,https://money.udn.com/money/story/12040/7594716,2023年11月24日
11/14/2023~12/14/2023,聯發科 財經,蔡明介獲半導體最高榮耀獎章 台灣科技業第2人 ｜財經100秒,https://www.ntdtv.com.tw/b5/20231129/video/378878.html?%E8%94%A1%E6%98%8E%E4%BB%8B%E7%8D%B2%E5%8D%8A%E5%B0%8E%E9%AB%94%E6%9C%80%E9%AB%98%E6%A6%AE%E8%80%80%E7%8D%8E%E7%AB%A0%20%E5%8F%B0%E7%81%A3%E7%A7%91%E6%8A%80%E6%A5%AD%E7%AC%AC2%E4%BA%BA%20%EF%BD%9C%E8%B2%A1%E7%B6%93100%E7%A7%92,2023年11月29日
11/14/2023~12/14/2023,聯發科 財經,聯發科董事長蔡明介　榮獲IEEE學會頒發「半導體諾貝爾獎」,https://www.ftvnews.com.tw/news/detail/2023B29W0103,2023年11月29日
11/14/2023~12/14/2023,聯發科 財經,大股東聯發科買進1927張 達發大漲24.08％,https://ec.ltn.com.tw/article/breakingnews/4500533,2023年11月24日
11/14/2023~12/14/2023,聯發科 財經,聯發科旗艦級SoC營收衝10億美元- 日報,https://www.ctee.com.tw/news/20231118700054-439901,2023年11月18日
11/14/2023~12/14/2023,聯發科 財經,聯發科五年斥資 4 億元，投資英國 AI 與 IC 設計新創,https://finance.technews.tw/2023/11/28/mediatek-invests-in-uk-ai-and-ic-design-start-up/,2023年11月28日
11/14/2023~12/14/2023,聯發科 財經,先探／IC設計是千金股製造機,https://finance.ettoday.net/news/2629263,2023年11月23日
11/14/2023~12/14/2023,聯發科 財經,蔡明介：AI推動半導體成長　「智在家鄉」300件提案近2成採用AI技術 | 財經 | CTWANT,https://www.ctwant.com/article/299629/,2023年11月23日
11/14/2023~12/14/2023,聯發科 財經,張忠謀、劉德音祝賀蔡明介　獲頒半導體最高榮譽IEEE獎章,https://www.mirrormedia.mg/story/20231129fin002,2023年11月29日
11/14/2023~12/14/2023,聯發科 財經,聯發科蔡力行：今年旗艦級手機單晶片營收規模可達10億美元,https://tw.stock.yahoo.com/news/%E8%81%AF%E7%99%BC%E7%A7%91%E8%94%A1%E5%8A%9B%E8%A1%8C%EF%BC%9A%E4%BB%8A%E5%B9%B4%E6%97%97%E8%89%A6%E7%B4%9A%E6%89%8B%E6%A9%9F%E5%96%AE%E6%99%B6%E7%89%87%E7%87%9F%E6%94%B6%E8%A6%8F%E6%A8%A1%E5%8F%AF%E9%81%9410%E5%84%84%E7%BE%8E%E5%85%83-061140430.html,2023年11月17日
11/14/2023~12/14/2023,聯發科 財經,聯發科攜輝達卡位車用半導體商機法人這樣評價- 證券,https://www.ctee.com.tw/news/20231214700712-430201,2023年12月14日
11/14/2023~12/14/2023,聯發科 財經,台積電吃大補丸、聯發科拚千元！台股 AI 概念股攻勢再起？,https://finance.technews.tw/2023/11/19/taiwan-ai-concept-stocks-rise-again/,2023年11月19日
11/14/2023~12/14/2023,聯發科 財經,〈財經週報-熱門族群〉作夢＋集團行情發燒 二線IC設計急漲,https://ec.ltn.com.tw/article/paper/1617554,2023年11月27日
11/14/2023~12/14/2023,聯發科 財經,聯發科董座蔡明介獲IEEE最高榮譽　台積電張忠謀、劉德音齊賀,https://finance.ettoday.net/news/2632953,2023年11月29日
11/14/2023~12/14/2023,聯發科 財經,聯發科再買達發持股7成快達標- 日報,https://www.ctee.com.tw/news/20231125700066-439901,2023年11月25日
11/14/2023~12/14/2023,聯發科 財經,2023台灣國際品牌價值 華碩續蟬聯榜首、聯發科與台達電成長最多,https://tw.stock.yahoo.com/news/2023%E5%8F%B0%E7%81%A3%E5%9C%8B%E9%9A%9B%E5%93%81%E7%89%8C%E5%83%B9%E5%80%BC-%E8%8F%AF%E7%A2%A9%E7%BA%8C%E8%9F%AC%E8%81%AF%E6%A6%9C%E9%A6%96%E3%80%81%E8%81%AF%E7%99%BC%E7%A7%91%E8%88%87%E5%8F%B0%E9%81%94%E9%9B%BB%E6%88%90%E9%95%B7%E6%9C%80%E5%A4%9A-095414565.html,2023年11月28日
11/14/2023~12/14/2023,聯發科 財經,聯發科AI領域成果豐　蔡明介喊：AI手機滲透率「直線向上」,https://finance.ettoday.net/news/2629276,2023年11月23日
11/14/2023~12/14/2023,聯發科 財經,半導體擴產急徵才台積、聯發科高薪挖角這類退休人士- 產業,https://www.ctee.com.tw/news/20231122701732-430501,2023年11月23日
11/14/2023~12/14/2023,聯發科 財經,改弦更張？Meta捨高通、偕聯發科打造新一代Ray-Ban智慧眼鏡！,https://tw.stock.yahoo.com/news/%E6%94%B9%E5%BC%A6%E6%9B%B4%E5%BC%B5-meta%E6%8D%A8%E9%AB%98%E9%80%9A-%E5%81%95%E8%81%AF%E7%99%BC%E7%A7%91%E6%89%93%E9%80%A0%E6%96%B0-%E4%BB%A3ray-ban%E6%99%BA%E6%85%A7%E7%9C%BC%E9%8F%A1-073200822.html,2023年11月16日
11/14/2023~12/14/2023,聯發科 財經,聯發創新基地開啟三方合作　共創中文生成式人工智慧大型語言模型新紀元,https://www.mirrormedia.mg/story/20231124ind001,2023年11月24日
11/14/2023~12/14/2023,聯發科 財經,台積3奈米2024成主流- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20231121000111-260202,2023年11月21日
