Feature1,Feature2,Feature3,Feature4,Cluster
-0.018515766,-0.30366358,-0.38339636,0.28149667,3
-0.087118715,0.14751044,-0.25757283,0.2576935,1
-0.06118565,0.46760532,-0.08959199,0.52904594,1
-0.044840824,-0.29300752,-0.6026177,0.28603727,3
-0.07674109,0.14934696,-0.35208666,0.24309912,1
-0.07172665,0.48576805,-0.074438274,0.4986305,1
-0.048991416,-0.25310814,-0.5982941,0.24147028,3
-0.0442461,0.120684505,-0.35475713,0.26282784,1
-0.068756565,0.49822548,-0.024717644,0.47775885,1
-0.042092297,-0.23695774,-0.516889,0.21673685,3
-0.07608712,0.1359969,-0.25132343,0.24799488,1
-0.06516009,0.49848822,-0.027417302,0.46505705,1
-0.057262644,-0.24154519,-0.5953358,0.22932559,3
-0.045891143,0.11387622,-0.36337304,0.26311305,1
0.016293824,0.39524668,0.062842,0.57144827,1
-0.061256588,-0.27779374,-0.6175836,0.27012685,3
-0.07113921,0.13488433,-0.34353265,0.24009858,1
0.020501733,0.42775795,0.019358411,0.54180557,1
-0.033725243,-0.23990002,-0.47006196,0.21510166,3
0.13175887,-0.02039054,-0.50616527,0.3871543,3
0.029188678,0.4038328,0.09996928,0.57015026,1
-0.040828764,-0.2585312,-0.49898708,0.23746772,3
-0.015168395,0.043147814,-0.3447774,0.3323309,3
0.17072651,0.29462075,-0.06374018,0.68289524,2
-0.036085237,-0.29301387,-0.4984942,0.27507612,3
-0.06413387,0.06767839,-0.2654211,0.3039945,1
0.09974346,0.34250292,0.09174554,0.65547,2
-0.0126474835,-0.25800812,-0.35854435,0.22101533,3
-0.07016032,0.07099643,-0.2570145,0.28874588,1
0.08338895,0.3516577,0.090316966,0.6422072,2
-0.034674253,-0.2869079,-0.4752903,0.26605642,3
0.014639787,0.0014798939,-0.28462914,0.3536113,3
0.10607924,0.33996978,0.11196615,0.65501374,2
-0.03292703,-0.27854794,-0.42692292,0.25329572,3
0.0033245608,-0.0055053756,-0.2971078,0.3674911,3
0.032343276,0.3849663,0.025525957,0.6035635,1
-0.04195012,-0.2590675,-0.5196465,0.24049397,3
0.020114116,-0.033626366,-0.27474096,0.39490247,3
0.043216847,0.38281384,0.056150764,0.5888985,1
-0.036879,-0.24177581,-0.46526074,0.21637394,3
-0.04367897,-0.0076607056,-0.2347391,0.37252432,1
0.034657106,0.387714,0.031883016,0.5734459,1
-0.037727796,-0.25185812,-0.43823594,0.22438043,3
-0.08392949,0.02692068,-0.25971895,0.33422577,1
-0.020175107,0.43336356,-0.09933292,0.51032245,1
-0.1046835,-0.21337077,-0.78176486,0.22457077,3
-0.062044833,0.05053534,-0.4405504,0.2970384,3
-0.064815246,0.4620568,-0.24897087,0.45227063,1
-0.052843735,-0.22251539,-0.5200472,0.2007486,3
-0.010420088,-0.00075433776,-0.29534736,0.33458698,3
-0.09157184,0.495146,-0.27166164,0.37018916,1
-0.0990287,-0.2090296,-0.7285071,0.21110368,3
0.1578269,-0.1045081,-0.5030901,0.44776383,3
-0.061282456,0.49701145,-0.17675546,0.35020438,1
-0.04410518,-0.23164976,-0.48777127,0.20570125,3
0.04419242,-0.074009344,-0.33301008,0.42673585,3
-0.038739964,0.4494497,0.035620794,0.40354317,1
-0.029221497,-0.25007576,-0.3871927,0.2115591,3
-0.07151017,-0.025116693,-0.20794207,0.3811159,1
0.002596885,0.43830618,0.007288784,0.41512385,1
-0.02507732,-0.2401918,-0.38295385,0.19967675,3
0.039846234,-0.085566714,-0.31464309,0.43957198,3
0.022449248,0.441986,-0.008453041,0.39558062,1
-0.02113422,-0.24346563,-0.3661965,0.20111331,3
-0.027745076,-0.06601912,-0.24955583,0.42686704,3
0.08151121,0.40617877,0.05698335,0.4254561,1
-0.036971863,-0.2703687,-0.41754746,0.24029759,3
-0.06488825,-0.041289132,-0.25938925,0.4018576,3
0.16193762,0.36161372,0.021793798,0.46638924,1
-0.023167513,-0.3279328,-0.4493329,0.3099365,3
-0.07151217,-0.045106616,-0.22139066,0.40087065,1
0.12968776,0.3795721,0.03798169,0.45127502,1
-0.017805617,-0.31172758,-0.3401397,0.2823493,3
-0.082404435,-0.033838633,-0.19683078,0.38737315,1
0.17884398,0.34840783,0.07166456,0.47488144,1
-0.02175302,-0.30715087,-0.35873163,0.278942,3
-0.07291086,-0.04194147,-0.24556738,0.39520243,1
0.12892348,0.36616474,-0.009888127,0.45687404,1
-0.034204666,-0.30362585,-0.49488926,0.28508592,3
-0.099473335,-0.016434882,-0.27118698,0.36751953,1
0.11591268,0.37758258,-0.012328476,0.4319698,1
-0.027373303,-0.3076813,-0.41905603,0.2839923,3
-0.06618341,-0.04035631,-0.2643286,0.3840307,3
0.22654662,0.30383834,0.059790432,0.4997657,1
-0.013736416,-0.30592823,-0.34195116,0.27397633,3
-0.064766705,-0.059877172,-0.22057316,0.40778667,1
0.27808022,0.23675509,0.0025584996,0.5889394,1
-0.0682816,-0.3932384,-0.7384672,0.41757098,3
0.10412084,-0.13932459,-0.4953252,0.49266738,3
0.21260542,0.2673464,0.1006691,0.5793139,1
-0.00848446,-0.36803696,-0.4017506,0.354947,3
-0.031628218,-0.09980884,-0.25934327,0.4602575,3
0.1447556,0.30192122,0.07145448,0.54556453,1
-0.023745902,-0.3800899,-0.49995887,0.37505513,3
-0.06923806,-0.0851741,-0.22742969,0.4487906,3
0.20873132,0.25428462,0.06522693,0.58801574,1
-0.027512591,-0.31331256,-0.496517,0.29766294,3
-0.04706177,-0.10976632,-0.22116934,0.4738773,3
0.07644937,0.32699007,0.035578936,0.51873094,1
-0.021902718,-0.27746025,-0.4227416,0.25233218,3
-0.09691634,-0.05681316,-0.21590519,0.42258573,1
0.1397869,0.29302096,0.08405535,0.5345432,1
-0.0037733465,-0.29339635,-0.3376829,0.25882798,3
-0.09168759,-0.07005034,-0.19547696,0.4296374,1
0.16730538,0.25449452,0.048369527,0.58058226,1
-0.023009498,-0.2751911,-0.46604502,0.25133532,3
-0.10834664,-0.03372493,-0.31091318,0.39092615,3
0.03136535,0.3267359,-0.016871661,0.51599616,1
-0.028339788,-0.2581785,-0.46189308,0.23260002,3
-0.107337534,-0.021398159,-0.26152092,0.37232935,1
0.074643485,0.30809587,-0.008095935,0.5155493,1
-0.0037613064,-0.2488182,-0.3533048,0.20693788,3
-0.12975052,0.034809683,-0.39172018,0.31008422,3
0.034401044,0.3333858,-0.008426115,0.4828339,1
-0.02466945,-0.22745001,-0.4258119,0.19302396,3
-0.111951716,0.04943898,-0.4464813,0.27492127,3
0.17256287,0.23675235,0.010499775,0.57965297,1
-0.028694075,-0.28829485,-0.43625626,0.2613585,3
-0.10246659,0.046377618,-0.40341467,0.26175514,3
0.12977764,0.2341816,-0.04186958,0.6142257,1
-0.019340236,-0.3144625,-0.4462648,0.29238614,3
-0.11029856,0.022066694,-0.2926091,0.28825033,1
0.10110847,0.25558788,0.07749374,0.60216457,1
-0.0042837113,-0.3107164,-0.32162353,0.27723345,3
-0.1063728,0.030878868,-0.28103343,0.27532315,1
0.045921907,0.29002818,0.055684566,0.57092094,1
0.0023177639,-0.29343668,-0.3152867,0.25509077,3
-0.10619779,0.04303744,-0.28241962,0.25639626,1
0.0850121,0.26244545,0.06850885,0.58692807,1
-0.010989573,-0.29444128,-0.3551004,0.26185006,3
-0.046354666,-0.011830848,-0.30663472,0.29892293,3
0.06929893,0.26076186,0.052596316,0.6006881,1
-0.017067123,-0.35985863,-0.47779,0.34906268,3
0.06395797,-0.07650755,-0.4360841,0.3698957,3
0.048468463,0.2556377,-0.029351681,0.607038,1
-0.03530732,-0.38313153,-0.5882526,0.38679388,3
-0.062735446,-0.021080926,-0.30762747,0.31626794,3
0.028418273,0.27328333,0.03836097,0.5900154,1
-0.044200413,-0.39016473,-0.6338014,0.40099046,3
-0.025559973,-0.04466878,-0.30468994,0.33241433,3
-0.010791246,0.3110658,-0.047207683,0.5447078,1
-0.023494434,-0.4165821,-0.5716121,0.42491508,3
0.22852662,-0.19534239,-0.57979155,0.5005843,3
0.00470604,0.3073908,0.0069272816,0.5386015,1
-0.0005748868,-0.37490398,-0.4103063,0.36612418,3
0.14078617,-0.18606721,-0.43708426,0.5022241,3
0.043796666,0.26571286,0.014284208,0.5785461,1
0.0031746551,-0.39569297,-0.4001981,0.3900786,3
0.1331757,-0.19987994,-0.44121438,0.5218646,3
0.010221414,0.2853872,0.0023694187,0.56785035,1
0.0033833683,-0.40227917,-0.44027358,0.40083164,3
0.04738103,-0.17427166,-0.30394545,0.50179267,3
0.042413823,0.25425512,0.026096344,0.6007151,1
-0.0092714615,-0.4163446,-0.48470163,0.41896388,3
0.2249493,-0.26579547,-0.5650708,0.61242,3
0.02356749,0.26381814,0.04343027,0.6005929,1
0.0043674484,-0.36554825,-0.39475122,0.35757956,3
-0.019165464,-0.16076893,-0.2828317,0.5080237,3
0.052464835,0.22729729,0.0232483,0.6443829,1
