日期,2317_成交股數,2330_成交股數,2454_成交股數,2317_成交金額,2330_成交金額,2454_成交金額,2317_開盤價,2330_開盤價,2454_開盤價,2317_最高價,2330_最高價,2454_最高價,2317_最低價,2330_最低價,2454_最低價,2317_收盤價,2330_收盤價,2454_收盤價,2317_漲跌價差,2330_漲跌價差,2454_漲跌價差,2317_成交筆數,2330_成交筆數,2454_成交筆數,2317_SMA_5,2330_SMA_5,2454_SMA_5,2317_SMA_20,2330_SMA_20,2454_SMA_20,2317_SMA_60,2330_SMA_60,2454_SMA_60,2317_SMA_50,2330_SMA_50,2454_SMA_50,2317_SMA_200,2330_SMA_200,2454_SMA_200,2317_EMA_5,2330_EMA_5,2454_EMA_5,2317_EMA_20,2330_EMA_20,2454_EMA_20,2317_RSI,2330_RSI,2454_RSI,2317_MACD,2330_MACD,2454_MACD,2317_MACD_signal,2330_MACD_signal,2454_MACD_signal,2317_MACD_hist,2330_MACD_hist,2454_MACD_hist,2317_Support_Level,2330_Support_Level,2454_Support_Level,2317_Resistance_Level,2330_Resistance_Level,2454_Resistance_Level
2011-05-18,13180034,28263408,4107464,1378865531,2130897500,1389159152,103.5,75.3,336,106,75.8,340,103.5,74.9,336,106,75.3,340,2,-0.3,5.5,6826,6393,3197,106.7,75.48,345,107.95,73.55,333.375,108.441666666667,71.5,337.291666666667,107.59,71.494,337.45,114.9475,67.233,393.16,106.40039358005,75.3135079969562,342.83228796474,107.430521450815,73.8966281100583,339.890925905023,45.8042406735906,60.5571384383851,50.5326669796579,-0.340729504229841,1.24073485332343,3.0212697664561,-0.052760918106835,1.13019486910146,2.26681928935929,-0.287968586123007,0.110539984221972,0.754450477096808,107.59,67.233,333.375,114.9475,73.55,393.16
2011-05-19,19587155,58823651,6643530,2060224620,4460406004,2226215930,106,74.9,340,106.5,76.3,342,104,74.9,328.5,104,75.2,330,-2,-0.1,-10,6494,10381,5273,105.7,75.38,340.5,107.75,73.82,334.475,108.233333333333,71.5366666666667,337.075,107.33,71.58,337.41,114.8125,67.294,392.6,105.6002623867,75.2756719979708,338.55485864316,107.103805122166,74.0207587662433,338.948932961687,41.4233745527108,59.8966936051317,44.777070784224,-0.57233189802345,1.18960208515692,1.82216241136075,-0.156675114090158,1.14207631231255,2.17788791375958,-0.415656783933292,0.047525772844369,-0.355725502398834,107.33,67.294,334.475,114.8125,73.82,392.6
2011-05-20,19044747,33000080,8679388,1974926651,2493815774,2804656160,104.5,76,329,105,76,330,103,74.9,318,103,75.5,318,-1,0.3,-12,8252,6934,6484,104.6,75.3,333.6,107.425,74.06,334.65,108.05,71.5716666666667,336.725,107.07,71.66,336.95,114.6725,67.3565,392.055,104.7335082578,75.3504479986472,331.70323909544,106.712966539103,74.1616388837439,336.953796489145,39.3945471877058,61.2616484253628,39.0318910556683,-0.827036543895673,1.15991570456883,-0.095339504014362,-0.290747400051261,1.14564419076381,1.7232424302048,-0.536289143844412,0.014271513805024,-1.81858193421916,107.07,67.3565,334.65,114.6725,74.06,392.055
2011-05-23,52000524,39033336,9455408,5184881959,2930155900,2944280796,99.5,74.7,312.5,101,75.5,314.5,97.7,74.5,310,100,75.1,310,-3,-0.4,-8,22799,7808,6964,103.4,75.34,326.5,106.95,74.27,334.6,107.858333333333,71.615,336.366666666667,106.74,71.734,336.29,114.5275,67.42,391.4375,103.155672171867,75.2669653324315,324.468826063627,106.073636392522,74.2510066091016,334.386768252084,34.0125362715938,58.4071642650223,35.7396497722009,-1.25648278731241,1.09152989978251,-2.2347459675816,-0.48389447750349,1.13482133256755,0.931644750647516,-0.772588309808917,-0.043291432785034,-3.16639071822912,106.74,67.42,334.6,114.5275,74.27,391.4375
2011-05-24,18188631,34788138,7611896,1853212993,2599793554,2414032136,100.5,74.9,314,103,75.1,323,100.5,74.2,314,103,74.8,314,3,-0.3,4,9521,7252,5730,103.2,75.18,322.4,106.725,74.495,335.025,107.741666666667,71.6783333333333,336.033333333333,106.53,71.82,335.61,114.375,67.4825,390.855,103.103781447911,75.111310221621,320.979217375751,105.780909117043,74.3032916939491,332.445171275695,42.4758995148797,56.2887706003167,38.5314216004855,-1.33930838785473,1.00158056669029,-3.56636361319596,-0.654977259573738,1.1081731793921,0.032043077878821,-0.684331128280991,-0.106592612701805,-3.59840669107478,106.53,67.4825,335.025,114.375,74.495,390.855
2011-05-25,17683723,59580438,5023833,1794183843,4415640385,1571616896,103,74.2,313,103,74.9,317.5,100.5,73.3,310,101,74.5,310,-2,-0.3,-4,8221,11539,3930,102.2,75.02,316.4,106.35,74.705,334.875,107.608333333333,71.745,335.633333333333,106.29,71.91,334.91,114.2,67.545,390.215,102.402520965274,74.9075401477473,317.319478250501,105.32558443923,74.3220258183349,330.307535916105,38.8944215317604,54.1728146056708,36.8092421920768,-1.54848162602487,0.895761794989099,-4.88809979009392,-0.833678132863964,1.0656909025115,-0.951985495715727,-0.714803493160903,-0.1699291075224,-3.93611429437819,106.29,67.545,334.875,114.2,74.705,390.215
2011-05-26,12102825,33240611,7357242,1231220650,2473777614,2275979020,103,75,314,103,75,314.5,101,74,305.5,101.5,74.2,307.5,0.5,-0.3,-2.5,5938,6184,5556,101.7,74.82,311.9,105.975,74.8,334.225,107.483333333333,71.8066666666667,335.191666666667,106.07,71.988,334.34,114.0375,67.606,389.56,102.101680643516,74.6716934318316,314.046318833667,104.961243064065,74.3104043118268,328.135389638381,40.2507865656119,52.0650792280259,35.7342321648611,-1.65483123853966,0.778715614368622,-6.0673734353548,-0.997908753999102,1.00829584488292,-1.97506308364354,-0.656922484540555,-0.229580230514301,-4.09231035171126,105.975,67.606,334.225,114.0375,74.8,389.56
2011-05-27,15633538,49929460,8553020,1584755072,3699398420,2651744720,101.5,73.8,307.5,102,74.5,313.5,101,73.8,307.5,101,74,309.5,-0.5,-0.2,2,6657,8290,5752,101.3,74.52,310.2,105.575,74.85,333.975,107.266666666667,71.85,334.883333333333,105.91,72.108,334.16,113.8725,67.6665,388.9175,101.734453762344,74.4477956212211,312.530879222445,104.583981819868,74.2808419964147,326.360590625202,39.3110733998588,50.6502320009961,37.3115451351893,-1.75918114876019,0.662184098334123,-6.76261776215051,-1.15016323295132,0.939073495573163,-2.93257401934494,-0.609017915808871,-0.27688939723904,-3.83004374280558,105.575,67.6665,333.975,113.8725,74.85,388.9175
2011-05-30,23670280,33733362,6179084,2374820583,2524331116,1950694796,100.5,74,314.5,101,75.3,319,100,74,312,100,75.1,317,-1,1.1,7.5,9007,7159,4654,101.3,74.52,311.6,105.15,74.945,334,107.066666666667,71.9283333333333,334.408333333333,105.8,72.24,333.93,113.6975,67.7375,388.28,101.156302508229,74.665197080814,314.020586148297,104.147412122738,74.3588570443752,325.469105803754,37.4289699349303,57.4921725504401,42.9647825731626,-1.900661207779,0.651087507727809,-6.63196738841896,-1.30026282791686,0.881476298004092,-3.67245269315974,-0.60039837986214,-0.230388790276284,-2.95951469525922,105.15,67.7375,333.93,113.6975,74.945,388.28
2011-05-31,46496446,62918492,7353069,4681876257,4799615122,2355225149,100,75.5,320,101.5,76.9,322,100,75.4,318,100.5,76.7,320,0.5,1.6,3,10978,14707,4675,100.8,74.9,312.8,104.875,75.05,333.125,106.85,72.0266666666667,334.066666666667,105.79,72.426,333.45,113.52,67.8175,387.565,100.937535005486,75.3434647205427,316.013724098864,103.80003953962,74.581823040149,324.948238584349,39.0015122752005,65.0765982588323,45.0975621081775,-1.94996141119512,0.762609124686065,-6.21471176924564,-1.43020254457251,0.857702863340487,-4.18090450837692,-0.519758866622611,-0.095093738654422,-2.03380726086872,104.875,67.8175,333.125,113.52,75.05,387.565
