new_index,nearest_index,distance,reference_date,infer_date
196,589,1.2003717367971607,2013-03-15,2011-08-08
197,740,1.1772493960649324,2013-10-23,2011-08-09
198,589,1.211502246506902,2013-03-15,2011-08-10
199,589,1.2609250599200297,2013-03-15,2011-08-11
200,589,1.262703481198706,2013-03-15,2011-08-12
201,589,1.369532431757199,2013-03-15,2011-08-15
202,740,1.184024712046879,2013-10-23,2011-08-16
203,589,1.25818590910048,2013-03-15,2011-08-17
204,755,1.1735915181676506,2013-11-13,2011-08-18
205,589,1.1831377304020052,2013-03-15,2011-08-19
206,589,1.1850982276711748,2013-03-15,2011-08-22
207,589,1.2321083738209466,2013-03-15,2011-08-23
208,589,1.1595348089749942,2013-03-15,2011-08-24
209,589,1.2161177893163746,2013-03-15,2011-08-25
210,589,1.2083758411628127,2013-03-15,2011-08-26
211,589,1.2367241360204444,2013-03-15,2011-08-29
212,589,1.4542594855420163,2013-03-15,2011-08-30
213,589,1.5322526956308435,2013-03-15,2011-08-31
214,589,1.215543805289063,2013-03-15,2011-09-01
215,589,1.4147922279322425,2013-03-15,2011-09-02
216,589,1.3532669555425605,2013-03-15,2011-09-05
217,589,1.3517180745718536,2013-03-15,2011-09-06
218,589,1.4884763123154188,2013-03-15,2011-09-07
219,755,1.27794372423798,2013-11-13,2011-09-08
220,589,1.4210746054836885,2013-03-15,2011-09-09
221,589,1.414052914055383,2013-03-15,2011-09-13
222,754,2.84085137034228,2013-11-12,2011-09-14
223,2451,2.860793375269904,2020-10-19,2011-09-15
224,2451,2.29144889597786,2020-10-19,2011-09-16
225,2079,2.3223588959343906,2019-04-12,2011-09-19
226,2079,1.726180533634479,2019-04-12,2011-09-20
227,2451,2.7438807256022466,2020-10-19,2011-09-21
228,2439,3.0426114895735448,2020-09-28,2011-09-22
229,2439,3.093899592165905,2020-09-28,2011-09-23
230,2451,2.7225312146564256,2020-10-19,2011-09-26
231,2083,2.6011788621915084,2019-04-18,2011-09-27
232,2439,3.0095184640982686,2020-09-28,2011-09-28
233,2439,2.688525454186716,2020-09-28,2011-09-29
234,2439,2.5387268285382953,2020-09-28,2011-09-30
235,2083,1.700505320307176,2019-04-18,2011-10-03
236,2439,2.6929066199674483,2020-09-28,2011-10-04
237,2439,2.5582618120747576,2020-09-28,2011-10-05
238,2439,2.2383164295006517,2020-09-28,2011-10-06
239,2433,2.158300201464736,2020-09-18,2011-10-07
